comparing_sets	compound_name	max_tc	mean_tc
all vs all	adenosine_triphosphate	0.86486	0.34909
all vs all	cefpirome	0.90805	0.36805
all vs all	aldosterone	0.91111	0.32823
all vs all	perphenazine	0.90566	0.33238
all vs all	demecarium	0.78689	0.36899
all vs all	riociguat	0.71014	0.34605
all vs all	atracurium	1.00000	0.40683
all vs all	thioguanine	0.70270	0.21192
all vs all	sodium_phosphate,_monobasic	1.00000	0.13425
all vs all	glimepiride	0.77528	0.34668
all vs all	sunitinib	0.67568	0.37041
all vs all	degarelix	0.88889	0.41283
all vs all	aztreonam	0.68085	0.29730
all vs all	buserelin	0.96104	0.41286
all vs all	propafenone	0.82000	0.37290
all vs all	pizotyline	0.86667	0.27593
all vs all	theobromine	0.95652	0.32841
all vs all	isotretinoin	0.72727	0.31664
all vs all	minocycline	0.96491	0.35852
all vs all	hydromorphone	0.94231	0.38351
all vs all	galantamine	0.81818	0.36974
all vs all	thiotepa	0.46154	0.18866
all vs all	mifepristone	0.92308	0.34307
all vs all	desoximetasone	0.97826	0.32716
all vs all	sodium_bicarbonate	1.00000	0.13337
all vs all	duloxetine	0.75000	0.30813
all vs all	ethanol	1.00000	0.36726
all vs all	stanozolol	0.66667	0.33867
all vs all	dyphylline	0.86364	0.39430
all vs all	tetrazepam	0.84906	0.33175
all vs all	tropicamide	0.72500	0.33126
all vs all	hydrogen_peroxide	0.55556	0.09398
all vs all	docusate	0.80392	0.22712
all vs all	foscarnet	0.80769	0.17260
all vs all	desonide	0.94231	0.34281
all vs all	uracil	0.84211	0.25414
all vs all	methimazole	0.63636	0.20436
all vs all	sulfamethizole	0.89474	0.24068
all vs all	sulfadoxine	0.81250	0.31159
all vs all	magaldrate	0.96552	0.13477
all vs all	aliskiren	0.76923	0.39851
all vs all	pantethine	0.80769	0.32996
all vs all	amoxicillin	0.91379	0.33356
all vs all	meclizine	0.86111	0.29165
all vs all	lisinopril	0.84314	0.37568
all vs all	carboprost	0.97222	0.30590
all vs all	pentoxifylline	0.81159	0.38468
all vs all	fluvoxamine	0.66667	0.29734
all vs all	bromopride	0.96429	0.36555
all vs all	fosfestrol	0.63158	0.26671
all vs all	choline_fenofibrate	0.71930	0.35564
all vs all	acebutolol	0.79032	0.38088
all vs all	glycopyrrolate	0.78571	0.35449
all vs all	fenofibrate	0.70370	0.27588
all vs all	proparacaine	1.00000	0.37597
all vs all	indomethacin	0.81667	0.37471
all vs all	homatropine	0.87500	0.36506
all vs all	tacrolimus	0.92188	0.40261
all vs all	ornidazole	0.76562	0.30355
all vs all	propofol	1.00000	0.20814
all vs all	dextroamphetamine	0.75000	0.31151
all vs all	sulfinpyrazone	0.67797	0.30828
all vs all	diflunisal	0.74074	0.24921
all vs all	rilmenidine	0.50000	0.25399
all vs all	bupivacaine	1.00000	0.35633
all vs all	flurbiprofen	0.67857	0.21243
all vs all	icosapent_ethyl	0.95000	0.20513
all vs all	metopimazine	0.71264	0.33686
all vs all	hexamidine	1.00000	0.29297
all vs all	carbinoxamine	0.82222	0.33073
all vs all	dalfampridine	0.65385	0.18350
all vs all	estriol	0.88889	0.31131
all vs all	mizolastine	0.80000	0.35958
all vs all	ketotifen	0.86667	0.32165
all vs all	dinoprost	0.97222	0.30000
all vs all	tetracycline	0.96491	0.36091
all vs all	triptorelin	0.96104	0.41246
all vs all	lindane	0.66667	0.09145
all vs all	cetirizine	1.00000	0.36160
all vs all	dihydroergocryptine	0.79775	0.38147
all vs all	ethynodiol	0.94737	0.29500
all vs all	pomalidomide	0.90000	0.36696
all vs all	lubiprostone	0.76744	0.32388
all vs all	netilmicin	0.79310	0.37620
all vs all	tipranavir	0.64835	0.33974
all vs all	tramadol	0.93023	0.35229
all vs all	desipramine	0.85366	0.31140
all vs all	risedronate	0.89744	0.24777
all vs all	ranolazine	0.80597	0.42576
all vs all	perampanel	0.78947	0.27630
all vs all	nicardipine	0.91176	0.34299
all vs all	flopropione	0.73077	0.27232
all vs all	salmeterol	0.89583	0.35278
all vs all	hexetidine	0.64815	0.30460
all vs all	milnacipran	0.89744	0.28946
all vs all	valganciclovir	0.91549	0.38594
all vs all	bunazosin	0.85915	0.39334
all vs all	dimenhydrinate	0.78667	0.39715
all vs all	zinc_gluconate	0.93333	0.22521
all vs all	ethacrynate	0.60976	0.26152
all vs all	phenoxybenzamine	0.76744	0.32064
all vs all	aluminum_chloride	0.58333	0.13057
all vs all	meprobamate	0.94872	0.29006
all vs all	ingenol_mebutate	0.72549	0.29061
all vs all	glutamine	0.78947	0.28330
all vs all	idrocilamide	0.62222	0.29606
all vs all	hydrochlorothiazide	0.95312	0.27907
all vs all	almotriptan	0.83824	0.31793
all vs all	selenium_sulfide	1.00000	0.04240
all vs all	carbon_dioxide	0.55556	0.09879
all vs all	zopiclone	1.00000	0.38260
all vs all	chloroquine	0.83333	0.32372
all vs all	etodolac	0.61538	0.36435
all vs all	tiaprofenate	0.63636	0.22149
all vs all	cefoxitin	0.87143	0.37636
all vs all	glycyrrhizinate	1.00000	0.32983
all vs all	choline	0.73529	0.25376
all vs all	latanoprost	0.83333	0.31737
all vs all	cephradine	0.94828	0.34370
all vs all	pemetrexed	0.80882	0.36961
all vs all	ephedrine	1.00000	0.22896
all vs all	dapsone	0.80000	0.21232
all vs all	clenbuterol	0.89474	0.29991
all vs all	digitoxin	0.98039	0.34689
all vs all	cloxazolam	0.76923	0.37654
all vs all	ramelteon	0.66038	0.33412
all vs all	cilazapril	0.75758	0.40299
all vs all	propranolol	0.81818	0.33462
all vs all	tiopronin	0.78788	0.26923
all vs all	amlodipine	0.73333	0.36238
all vs all	dopamine	0.81250	0.29427
all vs all	acemetacin	0.81667	0.38155
all vs all	mebendazole	0.70588	0.30938
all vs all	doxazosin	0.95588	0.39561
all vs all	magnesium_gluconate	1.00000	0.22586
all vs all	loracarbef	0.83607	0.34161
all vs all	tazarotene	0.54717	0.29763
all vs all	aminoglutethimide	0.67273	0.34478
all vs all	panthenol	1.00000	0.32044
all vs all	triprolidine	0.85366	0.29726
all vs all	deferasirox	0.71186	0.32768
all vs all	malate	0.56250	0.30728
all vs all	oxazepam	1.00000	0.30152
all vs all	butorphanol	0.84906	0.36362
all vs all	cisatracurium	1.00000	0.40683
all vs all	dirithromycin	0.81818	0.41735
all vs all	monofluorophosphate	0.73913	0.11373
all vs all	sodium_tetradecyl_sulfate	0.80392	0.20836
all vs all	metronidazole	0.76562	0.33287
all vs all	emedastine	0.68254	0.34631
all vs all	umeclidinium	0.80952	0.33613
all vs all	deferoxamine	0.63462	0.29384
all vs all	piracetam	0.84444	0.33564
all vs all	repaglinide	0.78261	0.41672
all vs all	hydrotalcite	0.76471	0.14483
all vs all	etretinate	0.82759	0.26777
all vs all	mezlocillin	0.74157	0.34382
all vs all	potassium_citrate	1.00000	0.20437
all vs all	dihydroergotamine	0.97260	0.42808
all vs all	ropinirole	0.71698	0.36025
all vs all	barium_sulfate	0.92857	0.12159
all vs all	acetic_acid	0.58333	0.13380
all vs all	dexlansoprazole	1.00000	0.32455
all vs all	tribenoside	0.64286	0.31124
all vs all	dimethyl_fumarate	0.61111	0.16702
all vs all	hyoscyamine	0.97872	0.38440
all vs all	ursodeoxycholate	1.00000	0.33120
all vs all	oxymetholone	0.89744	0.31579
all vs all	morphine	0.92157	0.36780
all vs all	sodium_chloride	1.00000	0.04819
all vs all	ascorbic_acid	0.83784	0.27716
all vs all	mosapride	0.80822	0.39741
all vs all	amezinium	0.71053	0.30862
all vs all	octreotide	0.92537	0.39722
all vs all	amphotericin	1.00000	0.36480
all vs all	cysteine	0.75000	0.22898
all vs all	biclotymol	0.82143	0.26213
all vs all	oxygen	0.57143	0.07454
all vs all	trandolapril	0.96296	0.39916
all vs all	paromomycin	0.95833	0.35655
all vs all	strontium	0.84615	0.32886
all vs all	clofarabine	0.90625	0.35012
all vs all	bromocriptine	0.90000	0.41208
all vs all	vinblastine	0.97260	0.43637
all vs all	colistin	0.93651	0.38234
all vs all	azacitidine	0.93333	0.34940
all vs all	lanreotide	0.92537	0.39385
all vs all	carteolol	0.81250	0.39850
all vs all	doxercalciferol	0.97368	0.28933
all vs all	zinc_oxide	0.62500	0.05818
all vs all	cholestyramine_resin	0.61905	0.23496
all vs all	lacidipine	0.78261	0.32631
all vs all	dabigatran_etexilate	0.76712	0.39424
all vs all	mefloquine	0.60377	0.31658
all vs all	clorazepate	0.83333	0.31970
all vs all	cefmetazole	0.90476	0.36686
all vs all	clothiapine	0.88235	0.28578
all vs all	magnesium_citrate	1.00000	0.20382
all vs all	pentazocine	0.79592	0.35735
all vs all	tolperisone	0.72093	0.31348
all vs all	sodium_sulfate	0.93103	0.13746
all vs all	magnesium_carbonate	1.00000	0.12237
all vs all	fluorometholone	0.93478	0.31241
all vs all	troxerutin	0.85417	0.34172
all vs all	acetone	0.40000	0.13328
all vs all	aluminum_sulfate	0.93103	0.12911
all vs all	thiamine	0.64384	0.33602
all vs all	docosanol	1.00000	0.20058
all vs all	felodipine	0.85417	0.30963
all vs all	molsidomine	0.67470	0.33902
all vs all	clofibrate	0.71429	0.26385
all vs all	oxycodone	0.93220	0.39992
all vs all	zaleplon	0.71429	0.30085
all vs all	tiemonium	0.70312	0.34021
all vs all	reboxetine	0.93333	0.35596
all vs all	mexiletine	0.69444	0.28910
all vs all	aripiprazole	0.76923	0.39070
all vs all	polidocanol	0.79412	0.23717
all vs all	tadenan	1.00000	0.20058
all vs all	buprenorphine	0.84848	0.40123
all vs all	ibuprofen	0.60000	0.22619
all vs all	bromfenac	0.80000	0.29975
all vs all	tazobactam	0.75000	0.32465
all vs all	vidarabine	1.00000	0.36496
all vs all	fidaxomicin	0.70175	0.33901
all vs all	nelfinavir	0.84286	0.41439
all vs all	sultamicillin	0.77027	0.33797
all vs all	gluconate	0.67857	0.23323
all vs all	enflurane	1.00000	0.09670
all vs all	ferrous_sulfate	0.92593	0.12086
all vs all	glyburide	0.80000	0.32917
all vs all	magnesium_lactate	1.00000	0.18537
all vs all	amsacrine	0.78571	0.30803
all vs all	sulfisoxazole	0.80328	0.27038
all vs all	dabrafenib	0.79104	0.26388
all vs all	cefotetan	0.91566	0.35360
all vs all	etravirine	0.64151	0.29596
all vs all	cycloserine	0.62903	0.28637
all vs all	isosorbide	0.70000	0.26397
all vs all	sumatriptan	0.84848	0.31354
all vs all	bazedoxifene	0.71667	0.39155
all vs all	cefoperazone	0.86207	0.37868
all vs all	methscopolamine	0.86207	0.35538
all vs all	sildenafil	0.95556	0.36305
all vs all	tigecycline	0.84848	0.39257
all vs all	apixaban	0.80000	0.39689
all vs all	levodopa	0.88889	0.31578
all vs all	metoclopramide	0.96429	0.36822
all vs all	pyroglutamate	0.69767	0.29930
all vs all	gestodene	0.97143	0.28408
all vs all	mefruside	0.70115	0.31941
all vs all	flunitrazepam	0.85714	0.31515
all vs all	pseudoephedrine	1.00000	0.22896
all vs all	menthol	0.64706	0.24004
all vs all	chloride_ion	0.75000	0.04213
all vs all	cefepime	0.90805	0.36662
all vs all	methysergide	0.95082	0.38287
all vs all	tulobuterol	0.89474	0.29237
all vs all	sevoflurane	0.64286	0.13070
all vs all	veralipride	0.92593	0.35637
all vs all	dapagliflozin	0.73469	0.30549
all vs all	zofenopril	0.76000	0.35233
all vs all	clopidogrel	0.80769	0.33557
all vs all	fentanyl	0.71429	0.32606
all vs all	paliperidone	0.88889	0.37900
all vs all	carbazochrome	0.60256	0.33452
all vs all	olmesartan	0.81159	0.37061
all vs all	lornoxicam	0.94667	0.32717
all vs all	trimeprazine	0.69492	0.35613
all vs all	azelastine	0.77778	0.34619
all vs all	ziprasidone	0.76812	0.34306
all vs all	mirtazapine	0.92105	0.29649
all vs all	imipramine	0.90244	0.30340
all vs all	cortivazol	0.70000	0.39106
all vs all	diclofenac	0.80000	0.28003
all vs all	atomoxetine	0.78947	0.31379
all vs all	saxagliptin	0.71186	0.34449
all vs all	stavudine	0.88525	0.35585
all vs all	succinylcholine	0.70588	0.29995
all vs all	racepinephrine	0.84848	0.31351
all vs all	dothiepin	0.82857	0.25902
all vs all	rifaximin	0.74074	0.37479
all vs all	pirenoxine	0.64444	0.31601
all vs all	mercaptopurine	0.68966	0.19273
all vs all	hydroxychloroquine	0.83333	0.36398
all vs all	dasabuvir	0.75581	0.33124
all vs all	norgestimate	0.68000	0.30645
all vs all	codeine	0.92593	0.37651
all vs all	zidovudine	0.84058	0.35728
all vs all	cyclopentolate	0.71429	0.36630
all vs all	busulfan	0.76087	0.21048
all vs all	aminophylline	0.89231	0.38404
all vs all	teduglutide	0.97222	0.38622
all vs all	methocarbamol	0.69048	0.33941
all vs all	nitrofurantoin	0.95161	0.30534
all vs all	cefprozil	0.95000	0.34874
all vs all	suramin	0.65217	0.25431
all vs all	methyl_salicylate	0.86957	0.24915
all vs all	gliclazide	0.91304	0.30436
all vs all	carbamazepine	0.78378	0.25339
all vs all	pefloxacin	0.96721	0.38665
all vs all	mianserin	0.92105	0.29776
all vs all	epinastine	0.61364	0.26712
all vs all	dinoprostone	0.94444	0.30525
all vs all	niacinamide	0.87500	0.22178
all vs all	propylene_glycol	0.68182	0.18935
all vs all	theophylline	0.89231	0.39329
all vs all	phenylalanine	0.81481	0.25854
all vs all	rosuvastatin	0.67059	0.32543
all vs all	brompheniramine	1.00000	0.27927
all vs all	memantine	0.81818	0.20683
all vs all	glucagon	0.94595	0.39806
all vs all	mazindol	0.65625	0.32710
all vs all	sorbitol	1.00000	0.21142
all vs all	loxapine	0.85714	0.32413
all vs all	ciclopirox	0.60000	0.27266
all vs all	calcitriol	1.00000	0.31024
all vs all	trimethobenzamide	0.73214	0.38316
all vs all	tolazamide	0.91304	0.29896
all vs all	protriptyline	0.86667	0.25026
all vs all	fulvestrant	0.63462	0.31637
all vs all	nikethamide	0.72500	0.29085
all vs all	enalaprilat	0.84615	0.37239
all vs all	cefaclor	0.88333	0.33379
all vs all	afatinib	0.77922	0.39482
all vs all	furazolidone	0.78788	0.30964
all vs all	promestriene	0.80000	0.30726
all vs all	candesartan	0.68056	0.35883
all vs all	betaine	0.87500	0.25215
all vs all	sennoside_b	0.84783	0.32949
all vs all	cyclophosphamide	0.96154	0.32518
all vs all	oxatomide	0.87037	0.35728
all vs all	nelarabine	0.89062	0.37617
all vs all	pindolol	0.81818	0.34770
all vs all	hydrocodone	0.94231	0.38460
all vs all	cefonicid	0.78022	0.33261
all vs all	isradipine	0.69492	0.30893
all vs all	artesunate	0.73585	0.33177
all vs all	acetate	0.85714	0.27164
all vs all	pyridoxine	1.00000	0.32456
all vs all	olsalazine	0.70833	0.29274
all vs all	nandrolone	0.94444	0.29318
all vs all	trovafloxacin	0.77143	0.36273
all vs all	permethrin	0.68421	0.27030
all vs all	amobarbital	0.86538	0.33986
all vs all	verapamil	0.78846	0.35838
all vs all	estrone	1.00000	0.29649
all vs all	sodium_phosphate,_dibasic	0.95238	0.13514
all vs all	pyridoxal	0.83784	0.32004
all vs all	ketorolac	0.63636	0.32421
all vs all	efavirenz	0.72093	0.28003
all vs all	flumazenil	0.72603	0.36946
all vs all	dofetilide	0.82895	0.34416
all vs all	phenylbutyrate	0.57895	0.27361
all vs all	beta_carotene	0.65000	0.17026
all vs all	neostigmine	0.74419	0.29028
all vs all	indoramin	0.77778	0.34816
all vs all	vinorelbine	0.91892	0.41996
all vs all	ivacaftor	0.69492	0.34555
all vs all	sibutramine	0.61538	0.24432
all vs all	prazepam	0.86000	0.31970
all vs all	cocaine	0.87234	0.37253
all vs all	triclofos	0.68966	0.18232
all vs all	ritonavir	0.86301	0.38121
all vs all	linagliptin	0.80000	0.38628
all vs all	camphor	0.85714	0.23813
all vs all	deferiprone	0.56604	0.29412
all vs all	butylscopolamine	0.80597	0.38756
all vs all	idelalisib	0.70909	0.32894
all vs all	ampicillin	0.91379	0.33585
all vs all	buclizine	0.84615	0.30130
all vs all	docosahexaenoate	0.95000	0.20041
all vs all	methionine	0.70000	0.26307
all vs all	benzocaine	0.59459	0.24953
all vs all	menatetrenone	1.00000	0.27550
all vs all	cifenline	0.60000	0.33171
all vs all	levobunolol	0.87755	0.36928
all vs all	sodium_selenate	0.83333	0.12377
all vs all	ritodrine	0.78049	0.33001
all vs all	niflumic_acid	0.62162	0.28692
all vs all	famciclovir	0.71642	0.36014
all vs all	didanosine	0.80882	0.37730
all vs all	benzoate	0.57895	0.19843
all vs all	sirolimus	0.93750	0.41076
all vs all	teriparatide	0.97222	0.38444
all vs all	nifurtimox	0.70000	0.31104
all vs all	iodixanol	0.92453	0.36617
all vs all	linezolid	0.85294	0.39589
all vs all	penicillin_g	0.87500	0.39425
all vs all	sulfasalazine	0.75342	0.29629
all vs all	modafinil	1.00000	0.25142
all vs all	riboflavin	0.83824	0.39799
all vs all	exemestane	0.93750	0.26186
all vs all	tetrabenazine	0.78000	0.38576
all vs all	bendamustine	0.68254	0.37192
all vs all	anastrozole	0.66667	0.25762
all vs all	nitrous_oxide	0.44000	0.08829
all vs all	besifloxacin	0.90769	0.37278
all vs all	temsirolimus	0.93939	0.40993
all vs all	quinidine	0.95455	0.35308
all vs all	ipratropium	0.85455	0.37262
all vs all	selegiline	0.87500	0.23391
all vs all	baclofen	0.66667	0.26556
all vs all	phenyltoloxamine	0.86842	0.33048
all vs all	potassium_gluconate	0.86667	0.21667
all vs all	trichlormethiazide	0.92188	0.26898
all vs all	danazol	0.72000	0.31359
all vs all	benzydamine	0.64286	0.35793
all vs all	clobutinol	0.66667	0.29180
all vs all	daunorubicin_liposomal	1.00000	0.37531
all vs all	ribavirin	0.85246	0.34481
all vs all	sodium_thiosulfate	0.93103	0.13211
all vs all	ombitasvir	0.83871	0.37941
all vs all	cytosine	0.95000	0.34863
all vs all	palbociclib	0.81159	0.38055
all vs all	nitazoxanide	0.67606	0.30970
all vs all	cabergoline	0.72152	0.37912
all vs all	dolasetron	0.72549	0.36901
all vs all	clomiphene	0.81818	0.31364
all vs all	argatroban	0.73737	0.35519
all vs all	fluindione	0.66667	0.21968
all vs all	ethamsylate	0.74242	0.28288
all vs all	alfacalcidol	0.97368	0.29844
all vs all	dipyrone	0.64646	0.32022
all vs all	benzethonium	0.76471	0.33853
all vs all	methenamine	0.51429	0.21569
all vs all	betamethasone	0.95833	0.32899
all vs all	ergotamine	0.92000	0.41944
all vs all	triazolam	0.97674	0.26759
all vs all	nefazodone	0.82278	0.36709
all vs all	dydrogesterone	1.00000	0.26801
all vs all	rocuronium	0.81538	0.40172
all vs all	micafungin	0.76667	0.38193
all vs all	captan	0.54545	0.26111
all vs all	oxcarbazepine	0.78378	0.29913
all vs all	calcium	1.00000	0.03276
all vs all	taurine	0.73077	0.22099
all vs all	clobetasone	0.88000	0.31099
all vs all	pyridostigmine	0.74419	0.30782
all vs all	azelate	0.77778	0.41052
all vs all	fumarate	0.76667	0.35532
all vs all	etoricoxib	0.77358	0.24226
all vs all	zotepine	0.74000	0.31517
all vs all	paroxetine	0.71429	0.34877
all vs all	amikacin	0.90196	0.37162
all vs all	tannic_acid	0.79070	0.30494
all vs all	lansoprazole	1.00000	0.32455
all vs all	bumetanide	0.78481	0.33918
all vs all	capsaicin	0.74510	0.36862
all vs all	brinzolamide	0.80460	0.35777
all vs all	vincristine	0.97260	0.43946
all vs all	cyproterone	0.95455	0.29923
all vs all	oxiconazole	0.70000	0.29490
all vs all	econazole	1.00000	0.30878
all vs all	gatifloxacin	0.92754	0.39696
all vs all	citric_acid	0.70370	0.22144
all vs all	cefazolin	0.86747	0.35622
all vs all	quazepam	0.67273	0.26779
all vs all	perindopril	0.92727	0.38638
all vs all	methylene_blue	0.55556	0.27805
all vs all	cyclizine	0.83333	0.28970
all vs all	sorafenib	1.00000	0.32976
all vs all	torsemide	0.74194	0.27646
all vs all	citrate	0.69565	0.27661
all vs all	methazolamide	0.80952	0.25498
all vs all	finasteride	0.80392	0.34364
all vs all	cefixime	0.88750	0.34685
all vs all	maprotiline	0.81250	0.26951
all vs all	acamprosate	0.73077	0.26676
all vs all	cefotaxime	0.94872	0.35272
all vs all	iothalamic_acid	1.00000	0.29072
all vs all	alfentanil	0.73077	0.38401
all vs all	medazepam	0.85106	0.28073
all vs all	podofilox	0.85106	0.31607
all vs all	verteporfin	0.63380	0.34813
all vs all	epoprostenol	0.82927	0.30895
all vs all	azathioprine	0.64062	0.26039
all vs all	isosorbide_dinitrate	0.68085	0.25940
all vs all	formoterol	0.88235	0.37344
all vs all	naphazoline	0.81081	0.27167
all vs all	halothane	0.75000	0.05612
all vs all	aspartic_acid	0.80000	0.24777
all vs all	pioglitazone	0.75000	0.36094
all vs all	dipyridamole	0.74545	0.35915
all vs all	vancomycin	0.87324	0.39995
all vs all	fluocinolone	0.97959	0.32430
all vs all	glucosamine	0.80435	0.31496
all vs all	aclarubicin	0.81667	0.39769
all vs all	lymecycline	0.82667	0.39733
all vs all	carbimazole	0.64583	0.28198
