fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.7	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.7
P28335_pEC50	0.142205	0.108781	0.139103	0.100142	0.2214115	0.146779	0.2319575	0.2238875	0.107894	0.1561375	0.1134085	0.146312	0.1766825	0.146779	0.2271955	0.1876385	-0.0432105	-0.0181445	0.1065295	0.062216	0.140076	-0.021743	0.1855225	0.133657	0.0259485	-0.024808	0.1235555	0.0691925	-0.012188	-0.022601	0.209487	0.1505455
P28336_pKi	0.604688	0.622561	0.6018785	0.646126	0.653174	0.585064	0.626684	0.7062585	0.696824	-0.099136	0.671217	0.263434	0.225928	-0.112581	0.225928	-0.112581	0.5713865	0.4871105	0.579634	0.6132095	0.578694	0.477549	0.5762305	0.5199435	0.4102115	-0.0702015	0.3874435	0.5710625	0.5207665	0.3822605	0.61385	0.3822605
P30291_pIC50	0.4738305	0.4382175	0.4924585	0.4516835	0.451527	0.4328065	0.470748	0.417278	0.336026	0.18577	0.458106	0.336026	0.3480225	0.1850445	0.479714	0.368756	0.393736	0.331443	0.382437	0.378854	0.3739595	0.358871	0.4251315	0.349279	-0.0819405	-0.081433	0.0036525	-0.081433	-0.0842175	-0.0836915	0.2835805	-0.1022815
P30405_pKd	-0.2144505	-0.1363075	-0.2144505	-0.1363075	-0.206643	-0.193156	-0.206643	-0.193156	NA	NA	-0.21122	NA	NA	NA	NA	NA	-0.24196	-0.230423	-0.1733505	-0.248867	-0.1617905	-0.1569545	-0.1617905	-0.1569545	NA	NA	NA	NA	NA	NA	NA	NA
P30518_pIC50	0.3500055	0.3222755	0.451834	0.3305505	0.4736075	0.3902245	0.4832305	0.4612505	0.3640635	-0.003967	0.431606	0.3953165	0.4777545	0.344416	0.489626	0.519819	0.146647	0.02115	0.350551	0.2055405	0.30141	0.2355225	0.4328705	0.3071665	0.0519655	0.027826	0.372947	0.281901	0.1621225	-0.073894	0.4518415	0.3321615
P31749_pIC50	0.6255895	0.609154	0.6269185	0.630837	0.598687	0.5900605	0.5957245	0.59936	0.5785755	0.5282275	0.6315245	0.62327	0.59753	0.594728	0.5964725	0.595577	0.5871565	0.583886	0.621862	0.6029745	0.550743	0.5510025	0.565431	0.5670305	0.6077905	0.6125075	0.616738	0.6050335	0.5445015	0.545978	0.558863	0.540944
P34949_pIC50	0.10933	0.109749	0.0670905	0.109749	0.090913	0.1164985	0.090913	0.1164985	0.112018	0.112018	0.0592725	0.112018	0.109695	0.112879	0.109695	0.112879	-0.0024255	0.0157515	-0.0424525	0.0742775	0.11118	-0.010865	0.0966165	0.103064	-0.195941	-0.100841	-0.129045	-0.0647125	-0.066317	-0.0265585	-0.0434605	-0.0265585
P35236_pIC50	0.0261295	0.0359295	0.076863	0.039845	0.1512555	0.1111365	0.16274	0.127676	0.030066	0.0530795	0.091917	0.047867	0.1448255	0.0887395	0.1777255	0.152464	0.0053325	-0.0253025	0.0606375	-0.000516	0.169402	0.12568	0.147116	0.169402	0.030025	0.053023	0.020334	0.053023	0.081157	0.0703615	0.1372575	0.11199
P35346_pIC50	0.2787935	0.274563	0.2787935	0.274563	0.3064485	0.179566	0.3721235	0.3064485	0.239706	0.1955605	0.2998915	0.239706	0.133587	0.103704	0.3269035	0.2096395	0.1208335	-0.0028865	0.2341445	0.2293865	0.288142	0.0742405	0.2880105	0.3189455	0.1193085	0.008079	0.1157665	0.0433	0.0142035	0.009868	0.2157165	-0.0089635
P35869_pEC50	0.150103	0.138959	0.301921	0.16114	0.1475965	0.131403	0.166393	0.131403	0.173859	0.034675	0.2981965	0.338755	0.1741115	0.0366135	0.2552445	0.1987705	-0.028312	-0.064584	0.133171	-0.0210005	-0.0120915	-0.0176495	-0.041433	-0.0120915	-0.087241	-0.0863915	-0.0704525	-0.0864475	-0.0701945	-0.0839875	-0.0117745	-0.0787125
