N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
P07858_pIC50	443	111	279	0.73077	0.73077	0.7767	0.7767	0.73077	0.73077	0.7767	0.7767	0.73077	0.73077	0.7767	0.7767	0.73077	0.73077	0.7767	0.7767
P08172_pIC50	295	74	279	0.86486	0.86486	0.85185	0.85185	0.86486	0.86486	0.85185	0.85185	0.86486	0.86486	0.85185	0.85185	0.86486	0.86486	0.85185	0.85185
P08684_pKi	96	25	279	0.57143	0.57143	0.28571	0.28571	0.57143	0.57143	0.28571	0.28571	0.57143	0.57143	0.28571	0.28571	0.57143	0.57143	0.28571	0.28571
P08908_pEC50	484	122	279	0.88889	0.88889	0.90244	0.90244	0.88889	0.88889	0.90244	0.90244	0.88889	0.88889	0.90244	0.90244	0.88889	0.88889	0.90244	0.90244
P0DMS8_pKi	2135	534	279	0.87516	0.87516	0.86911	0.86911	0.87516	0.87516	0.86911	0.86911	0.87516	0.87516	0.86911	0.86911	0.87516	0.87516	0.86911	0.86911
P11387_pEC50	101	26	279	0.91304	0.91304	0.91304	0.91304	0.91304	0.91304	0.91304	0.91304	0.91304	0.91304	0.91304	0.91304	0.91304	0.91304	0.91304	0.91304
P12931_pKi	195	49	279	0.52174	0.52174	0.5	0.5	0.52174	0.52174	0.5	0.5	0.52174	0.52174	0.5	0.5	0.52174	0.52174	0.5	0.5
P13726_pIC50	56	15	279	0.90909	0.90909	1	1	0.90909	0.90909	1	1	0.90909	0.90909	1	1	0.90909	0.90909	1	1
P14222_pIC50	119	30	279	0.4	0.4	0.46154	0.46154	0.4	0.4	0.46154	0.46154	0.4	0.4	0.46154	0.46154	0.4	0.4	0.46154	0.46154
P16581_pIC50	220	55	279	0.93023	0.93023	0.95455	0.95455	0.93023	0.93023	0.95455	0.95455	0.93023	0.93023	0.95455	0.95455	0.93023	0.93023	0.95455	0.95455
P18054_pIC50	116	29	279	0.625	0.625	0.53333	0.53333	0.625	0.625	0.53333	0.53333	0.625	0.625	0.53333	0.53333	0.625	0.625	0.53333	0.53333
P18089_pKi	242	61	279	0.74286	0.74286	0.72131	0.72131	0.74286	0.74286	0.72131	0.72131	0.74286	0.74286	0.72131	0.72131	0.74286	0.74286	0.72131	0.72131
P18564_pIC50	100	26	279	0.64516	0.64516	0.64706	0.64706	0.64516	0.64516	0.64706	0.64706	0.64516	0.64516	0.64706	0.64706	0.64516	0.64516	0.64706	0.64706
P19320_pIC50	78	20	279	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909	0.90909
P19793_pIC50	112	29	279	0.82051	0.82051	0.87179	0.87179	0.82051	0.82051	0.87179	0.87179	0.82051	0.82051	0.87179	0.87179	0.82051	0.82051	0.87179	0.87179
P20309_pIC50	412	103	279	0.89571	0.89571	0.87654	0.87654	0.89571	0.89571	0.87654	0.87654	0.89571	0.89571	0.87654	0.87654	0.89571	0.89571	0.87654	0.87654
P21397_pIC50	688	172	279	0.52941	0.52941	0.64935	0.64935	0.52941	0.52941	0.64935	0.64935	0.52941	0.52941	0.64935	0.64935	0.52941	0.52941	0.64935	0.64935
P21397_pKi	304	77	279	0.54545	0.54545	0.74074	0.74074	0.54545	0.54545	0.74074	0.74074	0.54545	0.54545	0.74074	0.74074	0.54545	0.54545	0.74074	0.74074
P21554_pKi	1636	410	279	0.84015	0.84015	0.82721	0.82721	0.84015	0.84015	0.82721	0.82721	0.84015	0.84015	0.82721	0.82721	0.84015	0.84015	0.82721	0.82721
P21918_pKi	181	46	279	0.92063	0.92063	0.88136	0.88136	0.92063	0.92063	0.88136	0.88136	0.92063	0.92063	0.88136	0.88136	0.92063	0.92063	0.88136	0.88136
P22748_pKi	262	66	279	0.8	0.8	0.88372	0.88372	0.8	0.8	0.88372	0.88372	0.8	0.8	0.88372	0.88372	0.8	0.8	0.88372	0.88372
P22894_pIC50	419	105	279	0.9375	0.9375	0.94737	0.94737	0.9375	0.9375	0.94737	0.94737	0.9375	0.9375	0.94737	0.94737	0.9375	0.9375	0.94737	0.94737
P23458_pEC50	108	27	279	0.89362	0.89362	0.84444	0.84444	0.89362	0.89362	0.84444	0.84444	0.89362	0.89362	0.84444	0.84444	0.89362	0.89362	0.84444	0.84444
P23526_pIC50	54	14	279	0.875	0.875	0.82353	0.82353	0.875	0.875	0.82353	0.82353	0.875	0.875	0.82353	0.82353	0.875	0.875	0.82353	0.82353
P23975_pIC50	1012	254	279	0.89749	0.89749	0.88889	0.88889	0.89749	0.89749	0.88889	0.88889	0.89749	0.89749	0.88889	0.88889	0.89749	0.89749	0.88889	0.88889
P25105_pIC50	311	78	279	0.91729	0.91729	0.91045	0.91045	0.91729	0.91729	0.91045	0.91045	0.91729	0.91729	0.91045	0.91045	0.91729	0.91729	0.91045	0.91045
P28335_pEC50	318	80	279	0.92086	0.92086	0.91429	0.91429	0.92086	0.92086	0.91429	0.91429	0.92086	0.92086	0.91429	0.91429	0.92086	0.92086	0.91429	0.91429
P28335_pIC50	490	123	279	0.84615	0.84615	0.85083	0.85083	0.84615	0.84615	0.85083	0.85083	0.84615	0.84615	0.85083	0.85083	0.84615	0.84615	0.85083	0.85083
P28845_pIC50	1678	420	279	0.94133	0.94133	0.94226	0.94226	0.94133	0.94133	0.94226	0.94226	0.94133	0.94133	0.94226	0.94226	0.94133	0.94133	0.94226	0.94226
P29274_pEC50	108	27	279	0.94444	0.94444	0.91429	0.91429	0.94444	0.94444	0.91429	0.91429	0.94444	0.94444	0.91429	0.91429	0.94444	0.94444	0.91429	0.91429
P29274_pIC50	124	31	279	0.93617	0.93617	0.91667	0.91667	0.93617	0.93617	0.91667	0.91667	0.93617	0.93617	0.91667	0.91667	0.93617	0.93617	0.91667	0.91667
P30968_pKi	537	135	279	0.91324	0.91324	0.90583	0.90583	0.91324	0.91324	0.90583	0.90583	0.91324	0.91324	0.90583	0.90583	0.91324	0.91324	0.90583	0.90583
P31645_pIC50	1458	365	279	0.90938	0.90938	0.89952	0.89952	0.90938	0.90938	0.89952	0.89952	0.90938	0.90938	0.89952	0.89952	0.90938	0.90938	0.89952	0.89952
P31751_pIC50	368	93	279	0.88889	0.88889	0.88742	0.88742	0.88889	0.88889	0.88742	0.88742	0.88889	0.88889	0.88742	0.88742	0.88889	0.88889	0.88742	0.88742
P32245_pEC50	696	175	279	0.93688	0.93688	0.93377	0.93377	0.93688	0.93688	0.93377	0.93377	0.93688	0.93688	0.93377	0.93377	0.93688	0.93688	0.93377	0.93377
P32245_pKi	1188	297	279	0.90385	0.90385	0.89524	0.89524	0.90385	0.90385	0.89524	0.89524	0.90385	0.90385	0.89524	0.89524	0.90385	0.90385	0.89524	0.89524
P34903_pKi	484	121	279	0.9607	0.9607	0.95652	0.95652	0.9607	0.9607	0.95652	0.95652	0.9607	0.9607	0.95652	0.95652	0.9607	0.9607	0.95652	0.95652
P34998_pKi	988	248	279	0.91509	0.91509	0.89786	0.89786	0.91509	0.91509	0.89786	0.89786	0.91509	0.91509	0.89786	0.89786	0.91509	0.91509	0.89786	0.89786
P35869_pEC50	149	38	279	0.7	0.7	0.72727	0.72727	0.7	0.7	0.72727	0.72727	0.7	0.7	0.72727	0.72727	0.7	0.7	0.72727	0.72727
P35968_pKi	140	35	279	0.91228	0.91228	0.87273	0.87273	0.91228	0.91228	0.87273	0.87273	0.91228	0.91228	0.87273	0.87273	0.91228	0.91228	0.87273	0.87273
P39900_pIC50	257	65	279	0.85714	0.85714	0.89474	0.89474	0.85714	0.85714	0.89474	0.89474	0.85714	0.85714	0.89474	0.89474	0.85714	0.85714	0.89474	0.89474
P41146_pIC50	341	86	279	0.9625	0.9625	0.95652	0.95652	0.9625	0.9625	0.95652	0.95652	0.9625	0.9625	0.95652	0.95652	0.9625	0.9625	0.95652	0.95652
P41595_pIC50	94	24	279	0.87179	0.87179	0.85	0.85	0.87179	0.87179	0.85	0.85	0.87179	0.87179	0.85	0.85	0.87179	0.87179	0.85	0.85
P42336_pIC50	2020	506	279	0.925	0.925	0.93103	0.93103	0.925	0.925	0.93103	0.93103	0.925	0.925	0.93103	0.93103	0.925	0.925	0.93103	0.93103
P43088_pIC50	50	13	279	0.85714	0.85714	0.93333	0.93333	0.85714	0.85714	0.93333	0.93333	0.85714	0.85714	0.93333	0.93333	0.85714	0.85714	0.93333	0.93333
P45983_pIC50	857	215	279	0.85965	0.85965	0.85546	0.85546	0.85965	0.85965	0.85546	0.85546	0.85965	0.85965	0.85546	0.85546	0.85965	0.85965	0.85546	0.85546
P47871_pIC50	510	128	279	0.93392	0.93392	0.94643	0.94643	0.93392	0.93392	0.94643	0.94643	0.93392	0.93392	0.94643	0.94643	0.93392	0.93392	0.94643	0.94643
P47989_pIC50	129	33	279	0.70588	0.70588	0.66667	0.66667	0.70588	0.70588	0.66667	0.66667	0.70588	0.70588	0.66667	0.66667	0.70588	0.70588	0.66667	0.66667
P49841_pKi	171	43	279	0.89189	0.89189	0.88571	0.88571	0.89189	0.89189	0.88571	0.88571	0.89189	0.89189	0.88571	0.88571	0.89189	0.89189	0.88571	0.88571
P50281_pIC50	379	95	279	0.87037	0.87037	0.81481	0.81481	0.87037	0.87037	0.81481	0.81481	0.87037	0.87037	0.81481	0.81481	0.87037	0.87037	0.81481	0.81481
P52895_pIC50	152	38	279	0.25	0.25	0.6	0.6	0.25	0.25	0.6	0.6	0.25	0.25	0.6	0.6	0.25	0.25	0.6	0.6
P55072_pIC50	103	26	279	0.93333	0.93333	0.93333	0.93333	0.93333	0.93333	0.93333	0.93333	0.93333	0.93333	0.93333	0.93333	0.93333	0.93333	0.93333	0.93333
Q02127_pIC50	196	50	279	0.80702	0.80702	0.80702	0.80702	0.80702	0.80702	0.80702	0.80702	0.80702	0.80702	0.80702	0.80702	0.80702	0.80702	0.80702	0.80702
Q04759_pIC50	320	81	279	0.97368	0.97368	0.97368	0.97368	0.97368	0.97368	0.97368	0.97368	0.97368	0.97368	0.97368	0.97368	0.97368	0.97368	0.97368	0.97368
Q12866_pIC50	115	29	279	0.93878	0.93878	0.91667	0.91667	0.93878	0.93878	0.91667	0.91667	0.93878	0.93878	0.91667	0.91667	0.93878	0.93878	0.91667	0.91667
Q12908_pIC50	160	40	279	0.91176	0.91176	0.92754	0.92754	0.91176	0.91176	0.92754	0.92754	0.91176	0.91176	0.92754	0.92754	0.91176	0.91176	0.92754	0.92754
Q13133_pIC50	314	79	279	0.92157	0.92157	0.94949	0.94949	0.92157	0.92157	0.94949	0.94949	0.92157	0.92157	0.94949	0.94949	0.92157	0.92157	0.94949	0.94949
Q13258_pIC50	220	55	279	0.94	0.94	0.94949	0.94949	0.94	0.94	0.94949	0.94949	0.94	0.94	0.94949	0.94949	0.94	0.94	0.94949	0.94949
Q13464_pIC50	342	86	279	0.89706	0.89706	0.89394	0.89394	0.89706	0.89706	0.89394	0.89394	0.89706	0.89706	0.89394	0.89394	0.89706	0.89706	0.89394	0.89394
Q13627_pIC50	230	58	279	0.8	0.8	0.83077	0.83077	0.8	0.8	0.83077	0.83077	0.8	0.8	0.83077	0.83077	0.8	0.8	0.83077	0.83077
Q13822_pIC50	88	22	279	0.71429	0.71429	0.74074	0.74074	0.71429	0.71429	0.74074	0.74074	0.71429	0.71429	0.74074	0.74074	0.71429	0.71429	0.74074	0.74074
Q14416_pEC50	453	114	279	0.81928	0.81928	0.8535	0.8535	0.81928	0.81928	0.8535	0.8535	0.81928	0.81928	0.8535	0.8535	0.81928	0.81928	0.8535	0.8535
Q14416_pKi	116	29	279	0.9	0.9	0.87805	0.87805	0.9	0.9	0.87805	0.87805	0.9	0.9	0.87805	0.87805	0.9	0.9	0.87805	0.87805
Q14790_pIC50	194	49	279	0.73469	0.73469	0.75	0.75	0.73469	0.73469	0.75	0.75	0.73469	0.73469	0.75	0.75	0.73469	0.73469	0.75	0.75
Q15722_pIC50	186	47	279	0.91566	0.91566	0.92857	0.92857	0.91566	0.91566	0.92857	0.92857	0.91566	0.91566	0.92857	0.92857	0.91566	0.91566	0.92857	0.92857
Q15858_pKi	55	14	279	0.55556	0.55556	0.63158	0.63158	0.55556	0.55556	0.63158	0.63158	0.55556	0.55556	0.63158	0.63158	0.55556	0.55556	0.63158	0.63158
Q16602_pKi	412	103	279	0.92308	0.92308	0.91803	0.91803	0.92308	0.92308	0.91803	0.91803	0.92308	0.92308	0.91803	0.91803	0.92308	0.92308	0.91803	0.91803
Q8TEK3_pKi	46	12	279	0.83333	0.83333	0.90909	0.90909	0.83333	0.83333	0.90909	0.90909	0.83333	0.83333	0.90909	0.90909	0.83333	0.83333	0.90909	0.90909
Q8WUI4_pIC50	60	16	279	0.6	0.6	0.4	0.4	0.6	0.6	0.4	0.4	0.6	0.6	0.4	0.4	0.6	0.6	0.4	0.4
Q92633_pIC50	73	19	279	0.82759	0.82759	0.93333	0.93333	0.82759	0.82759	0.93333	0.93333	0.82759	0.82759	0.93333	0.93333	0.82759	0.82759	0.93333	0.93333
Q96GD4_pIC50	935	234	279	0.92386	0.92386	0.93333	0.93333	0.92386	0.92386	0.93333	0.93333	0.92386	0.92386	0.93333	0.93333	0.92386	0.92386	0.93333	0.93333
Q99250_pIC50	67	17	279	0.22222	0.22222	0.54545	0.54545	0.22222	0.22222	0.54545	0.54545	0.22222	0.22222	0.54545	0.54545	0.22222	0.22222	0.54545	0.54545
Q9BUB5_pIC50	43	11	279	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923	0.76923
Q9NWZ3_pIC50	97	25	279	0.70968	0.70968	0.75	0.75	0.70968	0.70968	0.75	0.75	0.70968	0.70968	0.75	0.75	0.70968	0.70968	0.75	0.75
Q9UBN7_pIC50	706	177	279	0.93069	0.93069	0.93377	0.93377	0.93069	0.93069	0.93377	0.93377	0.93069	0.93069	0.93377	0.93377	0.93069	0.93069	0.93377	0.93377
Q9UBY5_pIC50	59	15	279	0.85714	0.85714	0.8	0.8	0.85714	0.85714	0.8	0.8	0.85714	0.85714	0.8	0.8	0.85714	0.85714	0.8	0.8
Q9UQB9_pKd	43	11	279	0.61538	0.61538	0.71429	0.71429	0.61538	0.61538	0.71429	0.71429	0.61538	0.61538	0.71429	0.71429	0.61538	0.61538	0.71429	0.71429
Q9Y5N1_pKi	1915	479	279	0.96875	0.96875	0.9697	0.9697	0.96875	0.96875	0.9697	0.9697	0.96875	0.96875	0.9697	0.9697	0.96875	0.96875	0.9697	0.9697
Q9Y6L6_pIC50	58	15	279	0.54545	0.54545	0.83333	0.83333	0.54545	0.54545	0.83333	0.83333	0.54545	0.54545	0.83333	0.83333	0.54545	0.54545	0.83333	0.83333
