N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
P12821_pIC50	464	117	166	0.912	0.912	0.912	0.912	0.912	0.912	0.912	0.912	0.912	0.912	0.912	0.912	0.912	0.912	0.912	0.912
P14061_pIC50	330	83	166	0.8855	0.8855	0.87879	0.87879	0.8855	0.8855	0.87879	0.87879	0.8855	0.8855	0.87879	0.87879	0.8855	0.8855	0.87879	0.87879
P15144_pIC50	189	48	166	0.66667	0.66667	0.66667	0.66667	0.66667	0.66667	0.66667	0.66667	0.66667	0.66667	0.66667	0.66667	0.66667	0.66667	0.66667	0.66667
P16109_pIC50	185	47	166	0.6	0.6	0.44444	0.44444	0.6	0.6	0.44444	0.44444	0.6	0.6	0.44444	0.44444	0.6	0.6	0.44444	0.44444
P16581_pIC50	227	57	166	0.97778	0.97778	0.95455	0.95455	0.97778	0.97778	0.95455	0.95455	0.97778	0.97778	0.95455	0.95455	0.97778	0.97778	0.95455	0.95455
P17706_pKi	91	23	166	0.5	0.5	0.54545	0.54545	0.5	0.5	0.54545	0.54545	0.5	0.5	0.54545	0.54545	0.5	0.5	0.54545	0.54545
P19793_pEC50	225	57	166	0.84783	0.84783	0.85393	0.85393	0.84783	0.84783	0.85393	0.85393	0.84783	0.84783	0.85393	0.85393	0.84783	0.84783	0.85393	0.85393
P20309_pKd	84	22	166	0.78571	0.78571	0.74074	0.74074	0.78571	0.78571	0.74074	0.74074	0.78571	0.78571	0.74074	0.74074	0.78571	0.78571	0.74074	0.74074
P20393_pEC50	55	14	166	0.75	0.75	0.66667	0.66667	0.75	0.75	0.66667	0.66667	0.75	0.75	0.66667	0.66667	0.75	0.75	0.66667	0.66667
P20618_pIC50	55	14	166	0.83333	0.83333	0.83333	0.83333	0.83333	0.83333	0.83333	0.83333	0.83333	0.83333	0.83333	0.83333	0.83333	0.83333	0.83333	0.83333
P20839_pIC50	48	12	166	0.71429	0.71429	0.66667	0.66667	0.71429	0.71429	0.66667	0.66667	0.71429	0.71429	0.66667	0.66667	0.71429	0.71429	0.66667	0.66667
P21397_pIC50	860	216	166	0.70588	0.70588	0.63866	0.63866	0.70588	0.70588	0.63866	0.63866	0.70588	0.70588	0.63866	0.63866	0.70588	0.70588	0.63866	0.63866
P21452_pKi	390	98	166	0.95122	0.95122	0.96386	0.96386	0.95122	0.95122	0.96386	0.96386	0.95122	0.95122	0.96386	0.96386	0.95122	0.95122	0.96386	0.96386
P21453_pEC50	1337	335	166	0.93659	0.93659	0.91041	0.91041	0.93659	0.93659	0.91041	0.91041	0.93659	0.93659	0.91041	0.91041	0.93659	0.93659	0.91041	0.91041
P23458_pIC50	516	130	166	0.87273	0.87273	0.88785	0.88785	0.87273	0.87273	0.88785	0.88785	0.87273	0.87273	0.88785	0.88785	0.87273	0.87273	0.88785	0.88785
P23946_pIC50	271	68	166	0.82828	0.82828	0.82	0.82	0.82828	0.82828	0.82	0.82	0.82828	0.82828	0.82	0.82	0.82828	0.82828	0.82	0.82
P25025_pKi	192	48	166	0.83871	0.83871	0.87097	0.87097	0.83871	0.83871	0.87097	0.87097	0.83871	0.83871	0.87097	0.87097	0.83871	0.83871	0.87097	0.87097
P28221_pKi	596	149	166	0.91429	0.91429	0.8996	0.8996	0.91429	0.91429	0.8996	0.8996	0.91429	0.91429	0.8996	0.8996	0.91429	0.91429	0.8996	0.8996
P28222_pKi	528	132	166	0.891	0.891	0.88372	0.88372	0.891	0.891	0.88372	0.88372	0.891	0.891	0.88372	0.88372	0.891	0.891	0.88372	0.88372
P28335_pEC50	452	114	166	0.88325	0.88325	0.93069	0.93069	0.88325	0.88325	0.93069	0.93069	0.88325	0.88325	0.93069	0.93069	0.88325	0.88325	0.93069	0.93069
P29274_pIC50	160	40	166	0.87097	0.87097	0.84746	0.84746	0.87097	0.87097	0.84746	0.84746	0.87097	0.87097	0.84746	0.84746	0.87097	0.87097	0.84746	0.84746
P29275_pKi	1134	284	166	0.9417	0.9417	0.93157	0.93157	0.9417	0.9417	0.93157	0.93157	0.9417	0.9417	0.93157	0.93157	0.9417	0.9417	0.93157	0.93157
P29375_pIC50	305	77	166	0.98387	0.98387	0.95935	0.95935	0.98387	0.98387	0.95935	0.95935	0.98387	0.98387	0.95935	0.95935	0.98387	0.98387	0.95935	0.95935
P29466_pKi	260	66	166	0.81579	0.81579	0.85	0.85	0.81579	0.81579	0.85	0.85	0.81579	0.81579	0.85	0.85	0.81579	0.81579	0.85	0.85
P30291_pIC50	228	58	166	0.90909	0.90909	0.87755	0.87755	0.90909	0.90909	0.87755	0.87755	0.90909	0.90909	0.87755	0.87755	0.90909	0.90909	0.87755	0.87755
P30542_pIC50	159	40	166	0.87879	0.87879	0.87879	0.87879	0.87879	0.87879	0.87879	0.87879	0.87879	0.87879	0.87879	0.87879	0.87879	0.87879	0.87879	0.87879
P32238_pIC50	260	65	166	0.92683	0.92683	0.875	0.875	0.92683	0.92683	0.875	0.875	0.92683	0.92683	0.875	0.875	0.92683	0.92683	0.875	0.875
P34913_pIC50	1266	317	166	0.94265	0.94265	0.94513	0.94513	0.94265	0.94265	0.94513	0.94513	0.94265	0.94265	0.94513	0.94513	0.94265	0.94265	0.94513	0.94513
P35236_pIC50	364	91	166	0.33333	0.33333	0.31579	0.31579	0.33333	0.33333	0.31579	0.31579	0.33333	0.33333	0.31579	0.31579	0.33333	0.33333	0.31579	0.31579
P35348_pKi	888	222	166	0.95165	0.95165	0.95214	0.95214	0.95165	0.95165	0.95214	0.95214	0.95165	0.95165	0.95214	0.95214	0.95165	0.95165	0.95214	0.95214
P35354_pIC50	2278	570	166	0.80713	0.80713	0.7875	0.7875	0.80713	0.80713	0.7875	0.7875	0.80713	0.80713	0.7875	0.7875	0.80713	0.80713	0.7875	0.7875
P35368_pKi	758	190	166	0.86869	0.86869	0.88079	0.88079	0.86869	0.86869	0.88079	0.88079	0.86869	0.86869	0.88079	0.88079	0.86869	0.86869	0.88079	0.88079
P35462_pKi	2507	627	166	0.8971	0.8971	0.88803	0.88803	0.8971	0.8971	0.88803	0.88803	0.8971	0.8971	0.88803	0.88803	0.8971	0.8971	0.88803	0.88803
P36544_pKi	292	73	166	0.84615	0.84615	0.84615	0.84615	0.84615	0.84615	0.84615	0.84615	0.84615	0.84615	0.84615	0.84615	0.84615	0.84615	0.84615	0.84615
P36888_pKd	102	26	166	0.78788	0.78788	0.83333	0.83333	0.78788	0.78788	0.83333	0.83333	0.78788	0.78788	0.83333	0.83333	0.78788	0.78788	0.83333	0.83333
P39900_pIC50	280	71	166	0.8046	0.8046	0.82353	0.82353	0.8046	0.8046	0.82353	0.82353	0.8046	0.8046	0.82353	0.82353	0.8046	0.8046	0.82353	0.82353
P41595_pKi	725	182	166	0.89394	0.89394	0.84099	0.84099	0.89394	0.89394	0.84099	0.84099	0.89394	0.89394	0.84099	0.84099	0.89394	0.89394	0.84099	0.84099
P42338_pIC50	746	187	166	0.93818	0.93818	0.91103	0.91103	0.93818	0.93818	0.91103	0.91103	0.93818	0.93818	0.91103	0.91103	0.93818	0.93818	0.91103	0.91103
P48730_pIC50	84	22	166	0.86667	0.86667	0.89655	0.89655	0.86667	0.86667	0.89655	0.89655	0.86667	0.86667	0.89655	0.89655	0.86667	0.86667	0.89655	0.89655
P49146_pKi	142	36	166	0.89655	0.89655	0.92593	0.92593	0.89655	0.89655	0.92593	0.92593	0.89655	0.89655	0.92593	0.92593	0.89655	0.89655	0.92593	0.92593
P49356_pIC50	514	129	166	0.88205	0.88205	0.89947	0.89947	0.88205	0.88205	0.89947	0.89947	0.88205	0.88205	0.89947	0.89947	0.88205	0.88205	0.89947	0.89947
P50281_pKi	117	30	166	0.58333	0.58333	0.76923	0.76923	0.58333	0.58333	0.76923	0.76923	0.58333	0.58333	0.76923	0.76923	0.58333	0.58333	0.76923	0.76923
P51452_pIC50	390	98	166	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48	0.48
P51582_pEC50	70	18	166	0.5	0.5	0.46154	0.46154	0.5	0.5	0.46154	0.46154	0.5	0.5	0.46154	0.46154	NA	0.5	NA	0.46154
P51679_pIC50	212	54	166	0.76596	0.76596	0.79245	0.79245	0.76596	0.76596	0.79245	0.79245	0.76596	0.76596	0.79245	0.79245	0.76596	0.76596	0.79245	0.79245
P51955_pIC50	92	23	166	0.58824	0.58824	0.46154	0.46154	0.58824	0.58824	0.46154	0.46154	0.58824	0.58824	0.46154	0.46154	0.58824	0.58824	0.46154	0.46154
P52732_pIC50	561	141	166	0.84375	0.84375	0.84536	0.84536	0.84375	0.84375	0.84536	0.84536	0.84375	0.84375	0.84536	0.84536	0.84375	0.84375	0.84536	0.84536
P53779_pIC50	696	174	166	0.8877	0.8877	0.875	0.875	0.8877	0.8877	0.875	0.875	0.8877	0.8877	0.875	0.875	0.8877	0.8877	0.875	0.875
P55263_pIC50	303	76	166	0.92727	0.92727	0.91071	0.91071	0.92727	0.92727	0.91071	0.91071	0.92727	0.92727	0.91071	0.91071	0.92727	0.92727	0.91071	0.91071
P56817_pIC50	2522	631	166	0.88684	0.88684	0.87598	0.87598	0.88684	0.88684	0.87598	0.87598	0.88684	0.88684	0.87598	0.87598	0.88684	0.88684	0.87598	0.87598
P78536_pKi	288	72	166	0.93939	0.93939	0.94737	0.94737	0.93939	0.93939	0.94737	0.94737	0.93939	0.93939	0.94737	0.94737	0.93939	0.93939	0.94737	0.94737
Q02083_pIC50	75	19	166	0.88	0.88	0.83333	0.83333	0.88	0.88	0.83333	0.83333	0.88	0.88	0.83333	0.83333	0.88	0.88	0.83333	0.83333
Q02127_pIC50	292	74	166	0.775	0.775	0.8	0.8	0.775	0.775	0.8	0.8	0.775	0.775	0.8	0.8	0.775	0.775	0.8	0.8
Q04759_pIC50	368	92	166	0.95349	0.95349	0.95349	0.95349	0.95349	0.95349	0.95349	0.95349	0.95349	0.95349	0.95349	0.95349	0.95349	0.95349	0.95349	0.95349
Q06187_pIC50	486	122	166	0.93333	0.93333	0.96889	0.96889	0.93333	0.93333	0.96889	0.96889	0.93333	0.93333	0.96889	0.96889	0.93333	0.93333	0.96889	0.96889
Q08881_pIC50	416	104	166	0.85207	0.85207	0.88623	0.88623	0.85207	0.85207	0.88623	0.88623	0.85207	0.85207	0.88623	0.88623	0.85207	0.85207	0.88623	0.88623
Q13258_pIC50	228	57	166	0.96078	0.96078	0.96078	0.96078	0.96078	0.96078	0.96078	0.96078	0.96078	0.96078	0.96078	0.96078	0.96078	0.96078	0.96078	0.96078
Q13464_pIC50	373	94	166	0.9	0.9	0.9078	0.9078	0.9	0.9	0.9078	0.9078	0.9	0.9	0.9078	0.9078	0.9	0.9	0.9078	0.9078
Q13490_pIC50	125	32	166	0.92308	0.92308	0.90196	0.90196	0.92308	0.92308	0.90196	0.90196	0.92308	0.92308	0.90196	0.90196	0.92308	0.92308	0.90196	0.90196
Q13822_pKi	53	14	166	0.6	0.6	0.83333	0.83333	0.6	0.6	0.83333	0.83333	0.6	0.6	0.83333	0.83333	0.6	0.6	0.83333	0.83333
Q16581_pIC50	91	23	166	0.88889	0.88889	0.88889	0.88889	0.88889	0.88889	0.88889	0.88889	0.88889	0.88889	0.88889	0.88889	0.88889	0.88889	0.88889	0.88889
Q16832_pKd	45	12	166	0.5	0.5	0.6	0.6	0.5	0.5	0.6	0.6	0.5	0.5	0.6	0.6	0.5	0.5	0.6	0.6
Q5NUL3_pEC50	177	45	166	0.78261	0.78261	0.77273	0.77273	0.78261	0.78261	0.77273	0.77273	0.78261	0.78261	0.77273	0.77273	0.78261	0.78261	0.77273	0.77273
Q6V1X1_pKi	103	26	166	0.85714	0.85714	0.86667	0.86667	0.85714	0.85714	0.86667	0.86667	0.85714	0.85714	0.86667	0.86667	0.85714	0.85714	0.86667	0.86667
Q7Z2W7_pIC50	117	30	166	0.86957	0.86957	0.88889	0.88889	0.86957	0.86957	0.88889	0.88889	0.86957	0.86957	0.88889	0.88889	0.86957	0.86957	0.88889	0.88889
Q7Z601_pEC50	86	22	166	0.88889	0.88889	0.88235	0.88235	0.88889	0.88889	0.88235	0.88235	0.88889	0.88889	0.88235	0.88235	0.88889	0.88889	0.88235	0.88235
Q8WUI4_pIC50	84	21	166	0.66667	0.66667	0.70588	0.70588	0.66667	0.66667	0.70588	0.70588	0.66667	0.66667	0.70588	0.70588	0.66667	0.66667	0.70588	0.70588
Q92731_pEC50	356	90	166	0.86111	0.86111	0.86525	0.86525	0.86111	0.86111	0.86525	0.86525	0.86111	0.86111	0.86525	0.86525	0.86111	0.86111	0.86525	0.86525
Q92769_pIC50	483	121	166	0.89412	0.89412	0.87356	0.87356	0.89412	0.89412	0.87356	0.87356	0.89412	0.89412	0.87356	0.87356	0.89412	0.89412	0.87356	0.87356
Q92847_pEC50	352	88	166	0.9697	0.9697	0.96429	0.96429	0.9697	0.9697	0.96429	0.96429	0.9697	0.9697	0.96429	0.96429	0.9697	0.9697	0.96429	0.96429
Q92847_pKi	158	40	166	0.875	0.875	0.88889	0.88889	0.875	0.875	0.88889	0.88889	0.875	0.875	0.88889	0.88889	0.875	0.875	0.88889	0.88889
Q96S37_pIC50	60	15	166	0.7	0.7	0.63158	0.63158	0.7	0.7	0.63158	0.63158	0.7	0.7	0.63158	0.63158	0.7	0.7	0.63158	0.63158
Q99250_pIC50	76	20	166	0.46154	0.46154	0.46154	0.46154	0.46154	0.46154	0.46154	0.46154	0.46154	0.46154	0.46154	0.46154	0.46154	0.46154	0.46154	0.46154
Q99500_pIC50	337	85	166	0.90385	0.90385	0.90196	0.90196	0.90385	0.90385	0.90196	0.90196	0.90385	0.90385	0.90196	0.90196	0.90385	0.90385	0.90196	0.90196
Q99720_pIC50	460	115	166	0.95477	0.95477	0.96	0.96	0.95477	0.95477	0.96	0.96	0.95477	0.95477	0.96	0.96	0.95477	0.95477	0.96	0.96
Q99720_pKi	971	243	166	0.95	0.95	0.95475	0.95475	0.95	0.95	0.95475	0.95475	0.95	0.95	0.95475	0.95475	0.95	0.95	0.95475	0.95475
Q9H5J4_pIC50	84	21	166	0.82353	0.82353	0.91429	0.91429	0.82353	0.82353	0.91429	0.91429	0.82353	0.82353	0.91429	0.91429	NA	NA	NA	NA
Q9UGN5_pIC50	40	10	166	0.66667	0.66667	0.83333	0.83333	0.66667	0.66667	0.83333	0.83333	0.66667	0.66667	0.83333	0.83333	NA	0.66667	NA	NA
Q9UNQ0_pEC50	90	23	166	0.72727	0.72727	0.7619	0.7619	0.72727	0.72727	0.7619	0.7619	0.72727	0.72727	0.7619	0.7619	0.72727	0.72727	0.7619	0.7619
Q9Y271_pKi	89	23	166	0.88889	0.88889	0.90323	0.90323	0.88889	0.88889	0.90323	0.90323	0.88889	0.88889	0.90323	0.90323	0.88889	0.88889	0.90323	0.90323
Q9Y5Y4_pIC50	900	225	166	0.93494	0.93494	0.94588	0.94588	0.93494	0.93494	0.94588	0.94588	0.93494	0.93494	0.94588	0.94588	0.93494	0.93494	0.94588	0.94588
