N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
P11309_pIC50	840	211	166	0.79698	0.79698	0.72468	0.72468	0.79698	0.79698	0.72468	0.72468	0.79698	0.79698	0.72468	0.72468	0.79698	0.79698	0.72468	0.72468
P11712_pIC50	1185	297	166	0.64957	0.64957	0.5696	0.5696	0.64957	0.64957	0.5696	0.5696	0.64957	0.64957	0.5696	0.5696	0.64957	0.64957	0.5696	0.5696
P12821_pIC50	464	117	166	0.90513	0.90513	0.90513	0.90513	0.90513	0.90513	0.90513	0.90513	0.90513	0.90513	0.90513	0.90513	0.90513	0.90513	0.90513	0.90513
P14061_pIC50	330	83	166	0.71628	0.71628	0.68997	0.68997	0.71628	0.71628	0.68997	0.68997	0.71628	0.71628	0.68997	0.68997	0.71628	0.71628	0.68997	0.68997
P15144_pIC50	189	48	166	0.82056	0.82056	0.82056	0.82056	0.82056	0.82056	0.82056	0.82056	0.82056	0.82056	0.82056	0.82056	0.82056	0.82056	0.82056	0.82056
P16109_pIC50	185	47	166	0.71429	0.71429	0.64286	0.64286	0.71429	0.71429	0.64286	0.64286	0.71429	0.71429	0.64286	0.64286	0.71429	0.71429	0.64286	0.64286
P16581_pIC50	227	57	166	0.98571	0.98571	0.96299	0.96299	0.98571	0.98571	0.96299	0.96299	0.98571	0.98571	0.96299	0.96299	0.98571	0.98571	0.96299	0.96299
P17706_pKi	91	23	166	0.65179	0.65179	0.68304	0.68304	0.65179	0.65179	0.68304	0.68304	0.65179	0.65179	0.68304	0.68304	0.65179	0.65179	0.68304	0.68304
P19793_pEC50	225	57	166	0.59762	0.59762	0.65238	0.65238	0.59762	0.59762	0.65238	0.65238	0.59762	0.59762	0.65238	0.65238	0.59762	0.59762	0.65238	0.65238
P20309_pKd	84	22	166	0.70833	0.70833	0.66667	0.66667	0.70833	0.70833	0.66667	0.66667	0.70833	0.70833	0.66667	0.66667	0.70833	0.70833	0.66667	0.66667
P20393_pEC50	55	14	166	0.70833	0.70833	0.75	0.75	0.70833	0.70833	0.75	0.75	0.70833	0.70833	0.75	0.75	0.70833	0.70833	0.75	0.75
P20618_pIC50	55	14	166	0.85417	0.85417	0.85417	0.85417	0.85417	0.85417	0.85417	0.85417	0.85417	0.85417	0.85417	0.85417	0.85417	0.85417	0.85417	0.85417
P20839_pIC50	48	12	166	0.71429	0.71429	0.64286	0.64286	0.71429	0.71429	0.64286	0.64286	0.71429	0.71429	0.64286	0.64286	0.71429	0.71429	0.64286	0.64286
P21397_pIC50	860	216	166	0.78774	0.78774	0.7366	0.7366	0.78774	0.78774	0.7366	0.7366	0.78774	0.78774	0.7366	0.7366	0.78774	0.78774	0.7366	0.7366
P21452_pKi	390	98	166	0.83442	0.83442	0.84677	0.84677	0.83442	0.83442	0.84677	0.84677	0.83442	0.83442	0.84677	0.84677	0.83442	0.83442	0.84677	0.84677
P21453_pEC50	1337	335	166	0.91829	0.91829	0.88161	0.88161	0.91829	0.91829	0.88161	0.88161	0.91829	0.91829	0.88161	0.88161	0.91829	0.91829	0.88161	0.88161
P23458_pIC50	516	130	166	0.57903	0.57903	0.68306	0.68306	0.57903	0.57903	0.68306	0.68306	0.57903	0.57903	0.68306	0.68306	0.57903	0.57903	0.68306	0.68306
P23946_pIC50	271	68	166	0.67292	0.67292	0.6502	0.6502	0.67292	0.67292	0.6502	0.6502	0.67292	0.67292	0.6502	0.6502	0.67292	0.67292	0.6502	0.6502
P25025_pKi	192	48	166	0.78125	0.78125	0.82812	0.82812	0.78125	0.78125	0.82812	0.82812	0.78125	0.78125	0.82812	0.82812	0.78125	0.78125	0.82812	0.82812
P28221_pKi	596	149	166	0.72863	0.72863	0.66613	0.66613	0.72863	0.72863	0.66613	0.66613	0.72863	0.72863	0.66613	0.66613	0.72863	0.72863	0.66613	0.66613
P28222_pKi	528	132	166	0.70438	0.70438	0.6625	0.6625	0.70438	0.70438	0.6625	0.6625	0.70438	0.70438	0.6625	0.6625	0.70438	0.70438	0.6625	0.6625
P28335_pEC50	452	114	166	0.56424	0.56424	0.65625	0.65625	0.56424	0.56424	0.65625	0.65625	0.56424	0.56424	0.65625	0.65625	0.56424	0.56424	0.65625	0.65625
P29274_pIC50	160	40	166	0.71326	0.71326	0.73656	0.73656	0.71326	0.71326	0.73656	0.73656	0.71326	0.71326	0.73656	0.73656	0.71326	0.71326	0.73656	0.73656
P29275_pKi	1134	284	166	0.84529	0.84529	0.80213	0.80213	0.84529	0.84529	0.80213	0.80213	0.84529	0.84529	0.80213	0.80213	0.84529	0.84529	0.80213	0.80213
P29375_pIC50	305	77	166	0.9586	0.9586	0.90914	0.90914	0.9586	0.9586	0.90914	0.90914	0.9586	0.9586	0.90914	0.90914	0.9586	0.9586	0.90914	0.90914
P29466_pKi	260	66	166	0.78056	0.78056	0.80556	0.80556	0.78056	0.78056	0.80556	0.80556	0.78056	0.78056	0.80556	0.80556	0.78056	0.78056	0.80556	0.80556
P30291_pIC50	228	58	166	0.66054	0.66054	0.59381	0.59381	0.66054	0.66054	0.59381	0.59381	0.66054	0.66054	0.59381	0.59381	0.66054	0.66054	0.59381	0.59381
P30542_pIC50	159	40	166	0.64062	0.64062	0.64062	0.64062	0.64062	0.64062	0.64062	0.64062	0.64062	0.64062	0.64062	0.64062	0.64062	0.64062	0.64062	0.64062
P32238_pIC50	260	65	166	0.9089	0.9089	0.85145	0.85145	0.9089	0.9089	0.85145	0.85145	0.9089	0.9089	0.85145	0.85145	0.9089	0.9089	0.85145	0.85145
P34913_pIC50	1266	317	166	0.72437	0.72437	0.69914	0.69914	0.72437	0.72437	0.69914	0.69914	0.72437	0.72437	0.69914	0.69914	0.72437	0.72437	0.69914	0.69914
P35236_pIC50	364	91	166	0.60065	0.60065	0.59416	0.59416	0.60065	0.60065	0.59416	0.59416	0.60065	0.60065	0.59416	0.59416	0.60065	0.60065	0.59416	0.59416
P35348_pKi	888	222	166	0.75365	0.75365	0.72552	0.72552	0.75365	0.75365	0.72552	0.72552	0.75365	0.75365	0.72552	0.72552	0.75365	0.75365	0.72552	0.72552
P35354_pIC50	2278	570	166	0.79028	0.79028	0.7565	0.7565	0.79028	0.79028	0.7565	0.7565	0.79028	0.79028	0.7565	0.7565	0.79028	0.79028	0.7565	0.7565
P35368_pKi	758	190	166	0.68509	0.68509	0.68844	0.68844	0.68509	0.68509	0.68844	0.68844	0.68509	0.68509	0.68844	0.68844	0.68509	0.68509	0.68844	0.68844
P35462_pKi	2507	627	166	0.72697	0.72697	0.6538	0.6538	0.72697	0.72697	0.6538	0.6538	0.72697	0.72697	0.6538	0.6538	0.72697	0.72697	0.6538	0.6538
P36544_pKi	292	73	166	0.83421	0.83421	0.83421	0.83421	0.83421	0.83421	0.83421	0.83421	0.83421	0.83421	0.83421	0.83421	0.83421	0.83421	0.83421	0.83421
P36888_pKd	102	26	166	0.71569	0.71569	0.71895	0.71895	0.71569	0.71569	0.71895	0.71895	0.71569	0.71569	0.71895	0.71895	0.71569	0.71569	0.71895	0.71895
P39900_pIC50	280	71	166	0.74626	0.74626	0.78198	0.78198	0.74626	0.74626	0.78198	0.78198	0.74626	0.74626	0.78198	0.78198	0.74626	0.74626	0.78198	0.78198
P41595_pKi	725	182	166	0.78968	0.78968	0.63294	0.63294	0.78968	0.78968	0.63294	0.63294	0.78968	0.78968	0.63294	0.63294	0.78968	0.78968	0.63294	0.63294
P42338_pIC50	746	187	166	0.87201	0.87201	0.801	0.801	0.87201	0.87201	0.801	0.801	0.87201	0.87201	0.801	0.801	0.87201	0.87201	0.801	0.801
P48730_pIC50	84	22	166	0.77778	0.77778	0.83333	0.83333	0.77778	0.77778	0.83333	0.83333	0.77778	0.77778	0.83333	0.83333	0.77778	0.77778	0.83333	0.83333
P49146_pKi	142	36	166	0.7	0.7	0.83077	0.83077	0.7	0.7	0.83077	0.83077	0.7	0.7	0.83077	0.83077	0.7	0.7	0.83077	0.83077
P49356_pIC50	514	129	166	0.73569	0.73569	0.79598	0.79598	0.73569	0.73569	0.79598	0.79598	0.73569	0.73569	0.79598	0.79598	0.73569	0.73569	0.79598	0.79598
P50281_pKi	117	30	166	0.66667	0.66667	0.8	0.8	0.66667	0.66667	0.8	0.8	0.66667	0.66667	0.8	0.8	0.66667	0.66667	0.8	0.8
P51452_pIC50	390	98	166	0.6759	0.6759	0.6759	0.6759	0.6759	0.6759	0.6759	0.6759	0.6759	0.6759	0.6759	0.6759	0.6759	0.6759	0.6759	0.6759
P51582_pEC50	70	18	166	0.625	0.625	0.58333	0.58333	0.625	0.625	0.58333	0.58333	0.625	0.625	0.58333	0.58333	NA	0.625	NA	0.58333
P51679_pIC50	212	54	166	0.7963	0.7963	0.7963	0.7963	0.7963	0.7963	0.7963	0.7963	0.7963	0.7963	0.7963	0.7963	0.7963	0.7963	0.7963	0.7963
P51955_pIC50	92	23	166	0.67063	0.67063	0.63095	0.63095	0.67063	0.67063	0.63095	0.63095	0.67063	0.67063	0.63095	0.63095	0.67063	0.67063	0.63095	0.63095
P52732_pIC50	561	141	166	0.74798	0.74798	0.74294	0.74294	0.74798	0.74798	0.74294	0.74294	0.74798	0.74798	0.74294	0.74294	0.74798	0.74798	0.74294	0.74294
P53779_pIC50	696	174	166	0.87773	0.87773	0.85913	0.85913	0.87773	0.87773	0.85913	0.85913	0.87773	0.87773	0.85913	0.85913	0.87773	0.87773	0.85913	0.85913
P55263_pIC50	303	76	166	0.88036	0.88036	0.83036	0.83036	0.88036	0.88036	0.83036	0.83036	0.88036	0.88036	0.83036	0.83036	0.88036	0.88036	0.83036	0.83036
P56817_pIC50	2522	631	166	0.81022	0.81022	0.76998	0.76998	0.81022	0.81022	0.76998	0.76998	0.81022	0.81022	0.76998	0.76998	0.81022	0.81022	0.76998	0.76998
P78536_pKi	288	72	166	0.61978	0.61978	0.62747	0.62747	0.61978	0.61978	0.62747	0.62747	0.61978	0.61978	0.62747	0.62747	0.61978	0.61978	0.62747	0.62747
Q02083_pIC50	75	19	166	0.81548	0.81548	0.77381	0.77381	0.81548	0.81548	0.77381	0.77381	0.81548	0.81548	0.77381	0.77381	0.81548	0.81548	0.77381	0.77381
Q02127_pIC50	292	74	166	0.75515	0.75515	0.78235	0.78235	0.75515	0.75515	0.78235	0.78235	0.75515	0.75515	0.78235	0.78235	0.75515	0.75515	0.78235	0.78235
Q04759_pIC50	368	92	166	0.6131	0.6131	0.6131	0.6131	0.6131	0.6131	0.6131	0.6131	0.6131	0.6131	0.6131	0.6131	0.6131	0.6131	0.6131	0.6131
Q06187_pIC50	486	122	166	0.56388	0.56388	0.76372	0.76372	0.56388	0.56388	0.76372	0.76372	0.56388	0.56388	0.76372	0.76372	0.56388	0.56388	0.76372	0.76372
Q08881_pIC50	416	104	166	0.59812	0.59812	0.70122	0.70122	0.59812	0.59812	0.70122	0.70122	0.59812	0.59812	0.70122	0.70122	0.59812	0.59812	0.70122	0.70122
Q13258_pIC50	228	57	166	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75	0.75
Q13464_pIC50	373	94	166	0.80417	0.80417	0.81131	0.81131	0.80417	0.80417	0.81131	0.81131	0.80417	0.80417	0.81131	0.81131	0.80417	0.80417	0.81131	0.81131
Q13490_pIC50	125	32	166	0.84444	0.84444	0.82593	0.82593	0.84444	0.84444	0.82593	0.82593	0.84444	0.84444	0.82593	0.82593	0.84444	0.84444	0.82593	0.82593
Q13822_pKi	53	14	166	0.6875	0.6875	0.85417	0.85417	0.6875	0.6875	0.85417	0.85417	0.6875	0.6875	0.85417	0.85417	0.6875	0.6875	0.85417	0.85417
Q16581_pIC50	91	23	166	0.71429	0.71429	0.71429	0.71429	0.71429	0.71429	0.71429	0.71429	0.71429	0.71429	0.71429	0.71429	0.71429	0.71429	0.71429	0.71429
Q16832_pKd	45	12	166	0.62857	0.62857	0.65714	0.65714	0.62857	0.62857	0.65714	0.65714	0.62857	0.62857	0.65714	0.65714	0.62857	0.62857	0.65714	0.65714
Q5NUL3_pEC50	177	45	166	0.77866	0.77866	0.77767	0.77767	0.77866	0.77866	0.77767	0.77767	0.77866	0.77866	0.77767	0.77767	0.77866	0.77866	0.77767	0.77767
Q6V1X1_pKi	103	26	166	0.84524	0.84524	0.83929	0.83929	0.84524	0.84524	0.83929	0.83929	0.84524	0.84524	0.83929	0.83929	0.84524	0.84524	0.83929	0.83929
Q7Z2W7_pIC50	117	30	166	0.69841	0.69841	0.75397	0.75397	0.69841	0.69841	0.75397	0.75397	0.69841	0.69841	0.75397	0.75397	0.69841	0.69841	0.75397	0.75397
Q7Z601_pEC50	86	22	166	0.66667	0.66667	0.71875	0.71875	0.66667	0.66667	0.71875	0.71875	0.66667	0.66667	0.71875	0.71875	0.66667	0.66667	0.71875	0.71875
Q8WUI4_pIC50	84	21	166	0.73558	0.73558	0.75962	0.75962	0.73558	0.73558	0.75962	0.75962	0.73558	0.73558	0.75962	0.75962	0.73558	0.73558	0.75962	0.75962
Q92731_pEC50	356	90	166	0.6366	0.6366	0.67262	0.67262	0.6366	0.6366	0.67262	0.67262	0.6366	0.6366	0.67262	0.67262	0.6366	0.6366	0.67262	0.67262
Q92769_pIC50	483	121	166	0.80664	0.80664	0.75664	0.75664	0.80664	0.80664	0.75664	0.75664	0.80664	0.80664	0.75664	0.75664	0.80664	0.80664	0.75664	0.75664
Q92847_pEC50	352	88	166	0.70811	0.70811	0.57143	0.57143	0.70811	0.70811	0.57143	0.57143	0.70811	0.70811	0.57143	0.57143	0.70811	0.70811	0.57143	0.57143
Q92847_pKi	158	40	166	0.67384	0.67384	0.72939	0.72939	0.67384	0.67384	0.72939	0.72939	0.67384	0.67384	0.72939	0.72939	0.67384	0.67384	0.72939	0.72939
Q96S37_pIC50	60	15	166	0.55	0.55	0.5	0.5	0.55	0.55	0.5	0.5	0.55	0.55	0.5	0.5	0.55	0.55	0.5	0.5
Q99250_pIC50	76	20	166	0.5989	0.5989	0.5989	0.5989	0.5989	0.5989	0.5989	0.5989	0.5989	0.5989	0.5989	0.5989	0.5989	0.5989	0.5989	0.5989
Q99500_pIC50	337	85	166	0.87617	0.87617	0.8817	0.8817	0.87617	0.87617	0.8817	0.8817	0.87617	0.87617	0.8817	0.8817	0.87617	0.87617	0.8817	0.8817
Q99720_pIC50	460	115	166	0.82355	0.82355	0.8286	0.8286	0.82355	0.82355	0.8286	0.8286	0.82355	0.82355	0.8286	0.8286	0.82355	0.82355	0.8286	0.8286
Q99720_pKi	971	243	166	0.69061	0.69061	0.69531	0.69531	0.69061	0.69061	0.69531	0.69531	0.69061	0.69061	0.69531	0.69531	0.69061	0.69061	0.69531	0.69531
Q9H5J4_pIC50	84	21	166	0.5375	0.5375	0.7	0.7	0.5375	0.5375	0.7	0.7	0.5375	0.5375	0.7	0.7	NA	NA	NA	NA
Q9UGN5_pIC50	40	10	166	0.7	0.7	0.8	0.8	0.7	0.7	0.8	0.8	0.7	0.7	0.8	0.8	NA	0.7	NA	NA
Q9UNQ0_pEC50	90	23	166	0.74615	0.74615	0.78462	0.78462	0.74615	0.74615	0.78462	0.78462	0.74615	0.74615	0.78462	0.78462	0.74615	0.74615	0.78462	0.78462
Q9Y271_pKi	89	23	166	0.72059	0.72059	0.91176	0.91176	0.72059	0.72059	0.91176	0.91176	0.72059	0.72059	0.91176	0.91176	0.72059	0.72059	0.91176	0.91176
Q9Y5Y4_pIC50	900	225	166	0.56715	0.56715	0.51926	0.51926	0.56715	0.56715	0.51926	0.51926	0.56715	0.56715	0.51926	0.51926	0.56715	0.56715	0.51926	0.51926
