N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
P21397_pKi	304	77	246	0.76984	0.76984	0.84921	0.84921	0.76984	0.76984	0.84921	0.84921	0.76984	0.76984	0.84921	0.84921	0.76984	0.76984	0.84921	0.84921
P21554_pKi	1636	410	246	0.76372	0.76372	0.74744	0.74744	0.76372	0.76372	0.74744	0.74744	0.76372	0.76372	0.74744	0.74744	0.76372	0.76372	0.74744	0.74744
P21918_pKi	181	46	246	0.87292	0.87292	0.83958	0.83958	0.87292	0.87292	0.83958	0.83958	0.87292	0.87292	0.83958	0.83958	0.87292	0.87292	0.83958	0.83958
P22748_pKi	262	66	246	0.84091	0.84091	0.90909	0.90909	0.84091	0.84091	0.90909	0.90909	0.84091	0.84091	0.90909	0.90909	0.84091	0.84091	0.90909	0.90909
P22894_pIC50	419	105	246	0.60714	0.60714	0.67308	0.67308	0.60714	0.60714	0.67308	0.67308	0.60714	0.60714	0.67308	0.67308	0.60714	0.60714	0.67308	0.67308
P23458_pEC50	108	27	246	0.75	0.75	0.55952	0.55952	0.75	0.75	0.55952	0.55952	0.75	0.75	0.55952	0.55952	0.75	0.75	0.55952	0.55952
P23526_pIC50	54	14	246	0.85417	0.85417	0.77083	0.77083	0.85417	0.85417	0.77083	0.77083	0.85417	0.85417	0.77083	0.77083	0.85417	0.85417	0.77083	0.77083
P23975_pIC50	1012	254	246	0.58549	0.58549	0.57039	0.57039	0.58549	0.58549	0.57039	0.57039	0.58549	0.58549	0.57039	0.57039	0.58549	0.58549	0.57039	0.57039
P25105_pIC50	311	78	246	0.64732	0.64732	0.65513	0.65513	0.64732	0.64732	0.65513	0.65513	0.64732	0.64732	0.65513	0.65513	0.64732	0.64732	0.65513	0.65513
P28335_pEC50	318	80	246	0.62255	0.62255	0.63725	0.63725	0.62255	0.62255	0.63725	0.63725	0.62255	0.62255	0.63725	0.63725	0.62255	0.62255	0.63725	0.63725
P28335_pIC50	490	123	246	0.68604	0.68604	0.70893	0.70893	0.68604	0.68604	0.70893	0.70893	0.68604	0.68604	0.70893	0.70893	0.68604	0.68604	0.70893	0.70893
P28845_pIC50	1678	420	246	0.63998	0.63998	0.64633	0.64633	0.63998	0.63998	0.64633	0.64633	0.63998	0.63998	0.64633	0.64633	0.63998	0.63998	0.64633	0.64633
P29274_pEC50	108	27	246	0.9	0.9	0.87059	0.87059	0.9	0.9	0.87059	0.87059	0.9	0.9	0.87059	0.87059	0.9	0.9	0.87059	0.87059
P29274_pIC50	124	31	246	0.85326	0.85326	0.79076	0.79076	0.85326	0.85326	0.79076	0.79076	0.85326	0.85326	0.79076	0.79076	0.85326	0.85326	0.79076	0.79076
P30968_pKi	537	135	246	0.70766	0.70766	0.67736	0.67736	0.70766	0.70766	0.67736	0.67736	0.70766	0.70766	0.67736	0.67736	0.70766	0.70766	0.67736	0.67736
P31645_pIC50	1458	365	246	0.67603	0.67603	0.62551	0.62551	0.67603	0.67603	0.62551	0.62551	0.67603	0.67603	0.62551	0.62551	0.67603	0.67603	0.62551	0.62551
P31751_pIC50	368	93	246	0.6339	0.6339	0.71575	0.71575	0.6339	0.6339	0.71575	0.71575	0.6339	0.6339	0.71575	0.71575	0.6339	0.6339	0.71575	0.71575
P32245_pEC50	696	175	246	0.73223	0.73223	0.73561	0.73561	0.73223	0.73223	0.73561	0.73561	0.73223	0.73223	0.73561	0.73561	0.73223	0.73223	0.73561	0.73561
P32245_pKi	1188	297	246	0.82045	0.82045	0.80745	0.80745	0.82045	0.82045	0.80745	0.80745	0.82045	0.82045	0.80745	0.80745	0.82045	0.82045	0.80745	0.80745
P34903_pKi	484	121	246	0.5955	0.5955	0.5455	0.5455	0.5955	0.5955	0.5455	0.5455	0.5955	0.5955	0.5455	0.5455	0.5955	0.5955	0.5455	0.5455
P34998_pKi	988	248	246	0.64216	0.64216	0.61909	0.61909	0.64216	0.64216	0.61909	0.61909	0.64216	0.64216	0.61909	0.61909	0.64216	0.64216	0.61909	0.61909
P35869_pEC50	149	38	246	0.8266	0.8266	0.80808	0.80808	0.8266	0.8266	0.80808	0.80808	0.8266	0.8266	0.80808	0.80808	0.8266	0.8266	0.80808	0.80808
P35968_pKi	140	35	246	0.77778	0.77778	0.68376	0.68376	0.77778	0.77778	0.68376	0.68376	0.77778	0.77778	0.68376	0.68376	0.77778	0.77778	0.68376	0.68376
P39900_pIC50	257	65	246	0.80994	0.80994	0.87329	0.87329	0.80994	0.80994	0.87329	0.87329	0.80994	0.80994	0.87329	0.87329	0.80994	0.80994	0.87329	0.87329
P41146_pIC50	341	86	246	0.68109	0.68109	0.61859	0.61859	0.68109	0.68109	0.61859	0.61859	0.68109	0.68109	0.61859	0.61859	0.68109	0.68109	0.61859	0.61859
P41595_pIC50	94	24	246	0.63889	0.63889	0.55556	0.55556	0.63889	0.63889	0.55556	0.55556	0.63889	0.63889	0.55556	0.55556	0.63889	0.63889	0.55556	0.55556
P42336_pIC50	2020	506	246	0.69468	0.69468	0.71033	0.71033	0.69468	0.69468	0.71033	0.71033	0.69468	0.69468	0.71033	0.71033	0.69468	0.69468	0.71033	0.71033
P43088_pIC50	50	13	246	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667	0.91667
P45983_pIC50	857	215	246	0.66534	0.66534	0.64716	0.64716	0.66534	0.66534	0.64716	0.64716	0.66534	0.66534	0.64716	0.64716	0.66534	0.66534	0.64716	0.64716
P47871_pIC50	510	128	246	0.72308	0.72308	0.7494	0.7494	0.72308	0.72308	0.7494	0.7494	0.72308	0.72308	0.7494	0.7494	0.72308	0.72308	0.7494	0.7494
P47989_pIC50	129	33	246	0.77778	0.77778	0.77083	0.77083	0.77778	0.77778	0.77083	0.77083	0.77778	0.77778	0.77083	0.77083	0.77778	0.77778	0.77083	0.77083
P49841_pKi	171	43	246	0.63485	0.63485	0.6697	0.6697	0.63485	0.63485	0.6697	0.6697	0.63485	0.63485	0.6697	0.6697	0.63485	0.63485	0.6697	0.6697
P50281_pIC50	379	95	246	0.80795	0.80795	0.78414	0.78414	0.80795	0.80795	0.78414	0.78414	0.80795	0.80795	0.78414	0.78414	0.80795	0.80795	0.78414	0.78414
P52895_pIC50	152	38	246	0.65104	0.65104	0.73438	0.73438	0.65104	0.65104	0.73438	0.73438	0.65104	0.65104	0.73438	0.73438	0.65104	0.65104	0.73438	0.73438
P55072_pIC50	103	26	246	0.9375	0.9375	0.9375	0.9375	0.9375	0.9375	0.9375	0.9375	0.9375	0.9375	0.9375	0.9375	0.9375	0.9375	0.9375	0.9375
Q02127_pIC50	196	50	246	0.75481	0.75481	0.77564	0.77564	0.75481	0.75481	0.77564	0.77564	0.75481	0.75481	0.77564	0.77564	0.75481	0.75481	0.77564	0.77564
Q04759_pIC50	320	81	246	0.66	0.66	0.74333	0.74333	0.66	0.66	0.74333	0.74333	0.66	0.66	0.74333	0.74333	0.66	0.66	0.74333	0.74333
Q12866_pIC50	115	29	246	0.66667	0.66667	0.72826	0.72826	0.66667	0.66667	0.72826	0.72826	0.66667	0.66667	0.72826	0.72826	0.66667	0.66667	0.72826	0.72826
Q12908_pIC50	160	40	246	0.70588	0.70588	0.72059	0.72059	0.70588	0.70588	0.72059	0.72059	0.70588	0.70588	0.72059	0.72059	0.70588	0.70588	0.72059	0.72059
Q13133_pIC50	314	79	246	0.88379	0.88379	0.93552	0.93552	0.88379	0.88379	0.93552	0.93552	0.88379	0.88379	0.93552	0.93552	0.88379	0.88379	0.93552	0.93552
Q13258_pIC50	220	55	246	0.5625	0.5625	0.6875	0.6875	0.5625	0.5625	0.6875	0.6875	0.5625	0.5625	0.6875	0.6875	0.5625	0.5625	0.6875	0.6875
Q13464_pIC50	342	86	246	0.69963	0.69963	0.76337	0.76337	0.69963	0.69963	0.76337	0.76337	0.69963	0.69963	0.76337	0.76337	0.69963	0.69963	0.76337	0.76337
Q13627_pIC50	230	58	246	0.80288	0.80288	0.80649	0.80649	0.80288	0.80288	0.80649	0.80649	0.80288	0.80288	0.80649	0.80649	0.80288	0.80288	0.80649	0.80649
Q13822_pIC50	88	22	246	0.60684	0.60684	0.66239	0.66239	0.60684	0.60684	0.66239	0.66239	0.60684	0.60684	0.66239	0.66239	0.60684	0.60684	0.66239	0.66239
Q14416_pEC50	453	114	246	0.69595	0.69595	0.7527	0.7527	0.69595	0.69595	0.7527	0.7527	0.69595	0.69595	0.7527	0.7527	0.69595	0.69595	0.7527	0.7527
Q14416_pKi	116	29	246	0.83889	0.83889	0.78333	0.78333	0.83889	0.83889	0.78333	0.78333	0.83889	0.83889	0.78333	0.78333	0.83889	0.83889	0.78333	0.78333
Q14790_pIC50	194	49	246	0.71583	0.71583	0.75583	0.75583	0.71583	0.71583	0.75583	0.75583	0.71583	0.71583	0.75583	0.75583	0.71583	0.71583	0.75583	0.75583
Q15722_pIC50	186	47	246	0.61786	0.61786	0.63036	0.63036	0.61786	0.61786	0.63036	0.63036	0.61786	0.61786	0.63036	0.63036	0.61786	0.61786	0.63036	0.63036
Q15858_pKi	55	14	246	0.53333	0.53333	0.43333	0.43333	0.53333	0.53333	0.43333	0.43333	0.53333	0.53333	0.43333	0.43333	0.53333	0.53333	0.43333	0.43333
Q16602_pKi	412	103	246	0.61183	0.61183	0.60602	0.60602	0.61183	0.61183	0.60602	0.60602	0.61183	0.61183	0.60602	0.60602	0.61183	0.61183	0.60602	0.60602
Q8TEK3_pKi	46	12	246	0.85714	0.85714	0.92857	0.92857	0.85714	0.85714	0.92857	0.92857	0.85714	0.85714	0.92857	0.92857	0.85714	0.85714	0.92857	0.92857
Q8WUI4_pIC50	60	16	246	0.61667	0.61667	0.56667	0.56667	0.61667	0.61667	0.56667	0.56667	0.61667	0.61667	0.56667	0.56667	0.61667	0.61667	0.56667	0.56667
Q92633_pIC50	73	19	246	0.7	0.7	0.8	0.8	0.7	0.7	0.8	0.8	0.7	0.7	0.8	0.8	0.7	0.7	0.8	0.8
Q96GD4_pIC50	935	234	246	0.78138	0.78138	0.77877	0.77877	0.78138	0.78138	0.77877	0.77877	0.78138	0.78138	0.77877	0.77877	0.78138	0.78138	0.77877	0.77877
Q99250_pIC50	67	17	246	0.57576	0.57576	0.65909	0.65909	0.57576	0.57576	0.65909	0.65909	0.57576	0.57576	0.65909	0.65909	0.57576	0.57576	0.65909	0.65909
Q9BUB5_pIC50	43	11	246	0.8	0.8	0.71667	0.71667	0.8	0.8	0.71667	0.71667	0.8	0.8	0.71667	0.71667	0.8	0.8	0.71667	0.71667
Q9NWZ3_pIC50	97	25	246	0.65278	0.65278	0.65278	0.65278	0.65278	0.65278	0.65278	0.65278	0.65278	0.65278	0.65278	0.65278	0.65278	0.65278	0.65278	0.65278
Q9UBN7_pIC50	706	177	246	0.76121	0.76121	0.7283	0.7283	0.76121	0.76121	0.7283	0.7283	0.76121	0.76121	0.7283	0.7283	0.76121	0.76121	0.7283	0.7283
Q9UBY5_pIC50	59	15	246	0.77778	0.77778	0.69444	0.69444	0.77778	0.77778	0.69444	0.69444	0.77778	0.77778	0.69444	0.69444	0.77778	0.77778	0.69444	0.69444
Q9UQB9_pKd	43	11	246	0.53333	0.53333	0.61667	0.61667	0.53333	0.53333	0.61667	0.61667	0.53333	0.53333	0.61667	0.61667	0.53333	0.53333	0.61667	0.61667
Q9Y5N1_pKi	1915	479	246	0.71314	0.71314	0.75618	0.75618	0.71314	0.71314	0.75618	0.75618	0.71314	0.71314	0.75618	0.75618	0.71314	0.71314	0.75618	0.75618
Q9Y6L6_pIC50	58	15	246	0.69444	0.69444	0.86111	0.86111	0.69444	0.69444	0.86111	0.86111	0.69444	0.69444	0.86111	0.86111	0.69444	0.69444	0.86111	0.86111
