N_train	N_test	N_all_features	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURF_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_0_pc_0.1_md_XGBoost_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_RandomForest_tl_50_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_20_cs_0.5	fr_MultiSURFstar_tf_1_pc_0.1_md_XGBoost_tl_50_cs_0.5
Q13490_pIC50	125	32	166	0.91852	0.91852	0.85926	0.85926	0.91852	0.91852	0.85926	0.85926	0.91852	0.91852	0.85926	0.85926	0.91852	0.91852	0.85926	0.85926
Q13822_pKi	53	14	166	0.85417	0.85417	0.875	0.875	0.85417	0.85417	0.875	0.875	0.85417	0.85417	0.875	0.875	0.85417	0.85417	0.875	0.875
Q16581_pIC50	91	23	166	0.68304	0.68304	0.73661	0.73661	0.68304	0.68304	0.73661	0.73661	0.68304	0.68304	0.73661	0.73661	0.68304	0.68304	0.73661	0.73661
Q16832_pKd	45	12	166	0.88571	0.88571	0.74286	0.74286	0.88571	0.88571	0.74286	0.74286	0.88571	0.88571	0.74286	0.74286	0.88571	0.88571	0.74286	0.74286
Q5NUL3_pEC50	177	45	166	0.85277	0.85277	0.88538	0.88538	0.85277	0.85277	0.88538	0.88538	0.85277	0.85277	0.88538	0.88538	0.85277	0.85277	0.88538	0.88538
Q6V1X1_pKi	103	26	166	0.95536	0.95536	0.95833	0.95833	0.95536	0.95536	0.95833	0.95833	0.95536	0.95536	0.95833	0.95833	0.95536	0.95536	0.95833	0.95833
Q7Z2W7_pIC50	117	30	166	0.88889	0.88889	0.87302	0.87302	0.88889	0.88889	0.87302	0.87302	0.88889	0.88889	0.87302	0.87302	0.88889	0.88889	0.87302	0.87302
Q7Z601_pEC50	86	22	166	0.67188	0.67188	0.65625	0.65625	0.67188	0.67188	0.65625	0.65625	0.67188	0.67188	0.65625	0.65625	0.67188	0.67188	0.65625	0.65625
Q8WUI4_pIC50	84	21	166	0.83654	0.83654	0.85577	0.85577	0.83654	0.83654	0.85577	0.85577	0.83654	0.83654	0.85577	0.85577	0.83654	0.83654	0.85577	0.85577
Q92731_pEC50	356	90	166	0.86762	0.86762	0.85269	0.85269	0.86762	0.86762	0.85269	0.85269	0.86762	0.86762	0.85269	0.85269	0.86762	0.86762	0.85269	0.85269
Q92769_pIC50	483	121	166	0.91003	0.91003	0.88981	0.88981	0.91003	0.91003	0.88981	0.88981	0.91003	0.91003	0.88981	0.88981	0.91003	0.91003	0.88981	0.88981
Q92847_pEC50	352	88	166	0.93474	0.93474	0.87654	0.87654	0.93474	0.93474	0.87654	0.87654	0.93474	0.93474	0.87654	0.87654	0.93474	0.93474	0.87654	0.87654
Q92847_pKi	158	40	166	0.8871	0.8871	0.89606	0.89606	0.8871	0.8871	0.89606	0.89606	0.8871	0.8871	0.89606	0.89606	0.8871	0.8871	0.89606	0.89606
Q96S37_pIC50	60	15	166	0.68	0.68	0.56	0.56	0.68	0.68	0.56	0.56	0.68	0.68	0.56	0.56	0.68	0.68	0.56	0.56
Q99250_pIC50	76	20	166	0.63736	0.63736	0.51099	0.51099	0.63736	0.63736	0.51099	0.51099	0.63736	0.63736	0.51099	0.51099	0.63736	0.63736	0.51099	0.51099
Q99500_pIC50	337	85	166	0.96882	0.96882	0.9528	0.9528	0.96882	0.96882	0.9528	0.9528	0.96882	0.96882	0.9528	0.9528	0.96882	0.96882	0.9528	0.9528
Q99720_pIC50	460	115	166	0.90814	0.90814	0.95928	0.95928	0.90814	0.90814	0.95928	0.95928	0.90814	0.90814	0.95928	0.95928	0.90814	0.90814	0.95928	0.95928
Q99720_pKi	971	243	166	0.87997	0.87997	0.85258	0.85258	0.87997	0.87997	0.85258	0.85258	0.87997	0.87997	0.85258	0.85258	0.87997	0.87997	0.85258	0.85258
Q9H5J4_pIC50	84	21	166	0.6625	0.6625	0.7375	0.7375	0.6625	0.6625	0.7375	0.7375	0.6625	0.6625	0.7375	0.7375	NA	NA	NA	NA
Q9UGN5_pIC50	40	10	166	0.78	0.78	0.88	0.88	0.78	0.78	0.88	0.88	0.78	0.78	0.88	0.88	NA	0.78	NA	NA
Q9UNQ0_pEC50	90	23	166	0.87308	0.87308	0.84231	0.84231	0.87308	0.87308	0.84231	0.84231	0.87308	0.87308	0.84231	0.84231	0.87308	0.87308	0.84231	0.84231
Q9Y271_pKi	89	23	166	0.91176	0.91176	0.92157	0.92157	0.91176	0.91176	0.92157	0.92157	0.91176	0.91176	0.92157	0.92157	0.91176	0.91176	0.92157	0.92157
Q9Y5Y4_pIC50	900	225	166	0.75291	0.75291	0.65228	0.65228	0.75291	0.75291	0.65228	0.65228	0.75291	0.75291	0.65228	0.65228	0.75291	0.75291	0.65228	0.65228
